Entity,Code,Year,"Current number of cases of trachoma per 100,000 people, in both sexes aged age-standardized"
Cote d'Ivoire,CIV,1990,61.4233
Cote d'Ivoire,CIV,1995,88.86107
Cote d'Ivoire,CIV,2000,73.073
Cote d'Ivoire,CIV,2005,59.682888
Cote d'Ivoire,CIV,2010,42.016647
Cote d'Ivoire,CIV,2015,33.24729
Cote d'Ivoire,CIV,2019,23.383574
Grenada,GRD,1990,0.0
Grenada,GRD,1995,0.0
Grenada,GRD,2000,0.0
Grenada,GRD,2005,0.0
Grenada,GRD,2010,0.0
Grenada,GRD,2015,0.0
Grenada,GRD,2019,0.0
Mongolia,MNG,1990,0.0
Mongolia,MNG,1995,0.0
Mongolia,MNG,2000,0.0
Mongolia,MNG,2005,0.0
Mongolia,MNG,2010,0.0
Mongolia,MNG,2015,0.0
Mongolia,MNG,2019,0.0
Saint Kitts and Nevis,KNA,1990,0.0
Saint Kitts and Nevis,KNA,1995,0.0
Saint Kitts and Nevis,KNA,2000,0.0
Saint Kitts and Nevis,KNA,2005,0.0
Saint Kitts and Nevis,KNA,2010,0.0
Saint Kitts and Nevis,KNA,2015,0.0
Saint Kitts and Nevis,KNA,2019,0.0
Tuvalu,TUV,1990,0.0
Tuvalu,TUV,1995,0.0
Tuvalu,TUV,2000,0.0
Tuvalu,TUV,2005,0.0
Tuvalu,TUV,2010,0.0
Tuvalu,TUV,2015,0.0
Tuvalu,TUV,2019,0.0
