Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years"
Americas (WHO),,1975,9.0
Americas (WHO),,1980,10.4
Americas (WHO),,1985,12.2
Americas (WHO),,1990,14.4
Americas (WHO),,1995,17.0
Americas (WHO),,2000,19.8
Americas (WHO),,2005,22.7
Americas (WHO),,2010,25.5
Americas (WHO),,2016,29.0
Andorra,AND,1975,13.4
Andorra,AND,1980,16.0
Andorra,AND,1985,18.3
Andorra,AND,1990,20.0
Andorra,AND,1995,21.5
Andorra,AND,2000,23.0
Andorra,AND,2005,24.5
Andorra,AND,2010,26.0
Andorra,AND,2016,28.0
Belgium,BEL,1975,11.3
Belgium,BEL,1980,12.3
Belgium,BEL,1985,13.5
Belgium,BEL,1990,15.0
Belgium,BEL,1995,16.8
Belgium,BEL,2000,18.6
Belgium,BEL,2005,20.5
Belgium,BEL,2010,22.2
Belgium,BEL,2016,24.5
Samoa,WSM,1975,17.6
Samoa,WSM,1980,20.0
Samoa,WSM,1985,22.6
Samoa,WSM,1990,25.8
Samoa,WSM,1995,29.8
Samoa,WSM,2000,34.0
Samoa,WSM,2005,38.2
Samoa,WSM,2010,41.7
Samoa,WSM,2016,45.5
Western Pacific (WHO),,1975,0.7
Western Pacific (WHO),,1980,0.9
Western Pacific (WHO),,1985,1.1
Western Pacific (WHO),,1990,1.4
Western Pacific (WHO),,1995,1.9
Western Pacific (WHO),,2000,2.6
Western Pacific (WHO),,2005,3.6
Western Pacific (WHO),,2010,4.8
Western Pacific (WHO),,2016,6.7
Yemen,YEM,1975,2.5
Yemen,YEM,1980,3.1
Yemen,YEM,1985,3.8
Yemen,YEM,1990,4.7
Yemen,YEM,1995,6.1
Yemen,YEM,2000,7.4
Yemen,YEM,2005,8.9
Yemen,YEM,2010,10.8
Yemen,YEM,2016,14.1
