Entity,Code,Year,Deaths - Amphetamine use disorders - Sex: Both - Age: Age-standardized (Rate)
Botswana,BWA,1990,0.01
Botswana,BWA,1995,0.02
Botswana,BWA,2000,0.02
Botswana,BWA,2005,0.01
Botswana,BWA,2010,0.01
Botswana,BWA,2015,0.01
Botswana,BWA,2019,0.01
Cuba,CUB,1990,0.01
Cuba,CUB,1995,0.01
Cuba,CUB,2000,0.0
Cuba,CUB,2005,0.01
Cuba,CUB,2010,0.01
Cuba,CUB,2015,0.01
Cuba,CUB,2019,0.01
Japan,JPN,1990,0.0
Japan,JPN,1995,0.01
Japan,JPN,2000,0.01
Japan,JPN,2005,0.01
Japan,JPN,2010,0.01
Japan,JPN,2015,0.01
Japan,JPN,2019,0.01
Latvia,LVA,1990,0.06
Latvia,LVA,1995,0.1
Latvia,LVA,2000,0.12
Latvia,LVA,2005,0.11
Latvia,LVA,2010,0.11
Latvia,LVA,2015,0.09
Latvia,LVA,2019,0.12
South Asia (WB),,1990,0.01
South Asia (WB),,1995,0.01
South Asia (WB),,2000,0.02
South Asia (WB),,2005,0.02
South Asia (WB),,2010,0.02
South Asia (WB),,2015,0.02
South Asia (WB),,2019,0.02
Sri Lanka,LKA,1990,0.05
Sri Lanka,LKA,1995,0.02
Sri Lanka,LKA,2000,0.07
Sri Lanka,LKA,2005,0.05
Sri Lanka,LKA,2010,0.03
Sri Lanka,LKA,2015,0.03
Sri Lanka,LKA,2019,0.03
