Entity,Code,Year,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,4.8510346,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,3.9340954,6602.424,32353592.0,
Argentina,ARG,2019,4.982973,22071.748,44745516.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,2.4775383,14442.041,10232761.0,
Bolivia,BOL,2019,5.7405457,8528.749,11777318.0,
Brazil,BRA,2019,7.410114,14685.128,211782880.0,
Bulgaria,BGR,2019,3.3973696,23270.225,7052536.0,
Burkina Faso,BFA,2019,3.116734,2110.0623,20951638.0,
Burundi,BDI,2019,3.6385643,729.65845,11874838.0,
Central African Republic,CAF,2019,4.405564,861.7668,5209329.0,
Chad,TCD,2019,3.3696513,1561.9967,16126868.0,
Chile,CHL,2019,5.4619493,24816.611,19039484.0,
Colombia,COL,2019,4.701662,14616.135,50187404.0,
Cyprus,CYP,2019,6.4671764,41746.918,1228840.0,
Ethiopia,ETH,2019,3.4656384,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
European Union (27),,2019,5.161444,44363.457,445027038.0,
Fiji,FJI,2019,4.039825,13241.354,918472.0,
Finland,FIN,2019,3.9931211,48583.434,5521539.0,
Germany,DEU,2019,6.208145,53874.316,83148144.0,
Greece,GRC,2019,5.7790413,29721.586,10574026.0,
Guatemala,GTM,2019,4.263226,8671.703,17106338.0,
Guyana,GUY,2019,4.3815017,12820.489,798761.0,
Haiti,HTI,2019,4.635318,3101.5942,11160441.0,
High-income countries,,2019,4.8858933,49982.78,1214846354.0,
India,IND,2019,2.9674358,6608.624,1383112064.0,
Iraq,IRQ,2019,5.33799,10299.316,41563524.0,
Ireland,IRL,2019,6.9078193,86681.27,4896021.0,
Israel,ISR,2019,3.7392616,40810.055,8607922.0,
Italy,ITA,2019,5.5624604,42739.05,59727936.0,
Japan,JPN,2019,2.3241255,41697.41,125791680.0,
Kazakhstan,KAZ,2019,2.1156304,26351.805,18754260.0,
Latvia,LVA,2019,3.748034,31038.68,1916552.0,
Lebanon,LBN,2019,6.0510345,17172.197,5781912.0,
Low-income countries,,2019,3.6828394,2011.7366,661633048.0,
Lower-middle-income countries,,2019,3.3327048,7259.8174,3326051409.0,
Mali,MLI,2019,2.7260087,2219.0466,20567430.0,
Mauritania,MRT,2019,2.7462342,5505.6465,4383853.0,
Morocco,MAR,2019,4.7997293,8217.599,36304408.0,
Mozambique,MOZ,2019,4.035234,1285.1848,30285602.0,
Myanmar,MMR,2019,3.9770174,4829.5366,53040212.0,
Nepal,NPL,2019,3.2773163,3922.0813,28832500.0,
Netherlands,NLD,2019,6.7548013,56784.04,17363260.0,
New Zealand,NZL,2019,7.263469,43110.37,4959033.0,
Nicaragua,NIC,2019,4.3657975,5348.9873,6663919.0,
Niger,NER,2019,2.9678462,1217.446,23443400.0,
Nigeria,NGA,2019,2.9917774,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,3.474194,5157.5464,223293280.0,
Palestine,PSE,2019,5.5458045,6245.4487,4909775.0,
Paraguay,PRY,2019,6.304892,13609.723,6530029.0,
Peru,PER,2019,5.551791,12735.168,32824864.0,
Philippines,PHL,2019,4.563437,8731.861,110380800.0,
Portugal,PRT,2019,8.02761,34945.66,10289921.0,
Qatar,QAT,2019,4.26387,90840.43,2807242.0,
Russia,RUS,2019,3.1336958,27254.574,145742288.0,
Senegal,SEN,2019,2.8934357,3430.484,16000783.0,
Singapore,SGP,2019,2.7080863,98283.31,5866408.0,
Slovakia,SVK,2019,3.4256656,31973.46,5453932.0,
Somalia,SOM,2019,3.2728631,1138.2859,15981312.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,3.2213244,42758.59,51803832.0,
Spain,ESP,2019,4.8611727,40760.31,47131372.0,
Sudan,SDN,2019,4.745971,4133.1304,43232092.0,
Tajikistan,TJK,2019,2.4035394,3575.2798,9337008.0,
Turkey,TUR,2019,4.513604,28150.059,83481688.0,
Uganda,UGA,2019,4.080157,2250.015,42949076.0,
Ukraine,UKR,2019,3.133128,12804.955,44211100.0,
United Kingdom,GBR,2019,4.4602027,47362.266,66778660.0,
United States,USA,2019,5.6977477,62478.254,334319680.0,
Uzbekistan,UZB,2019,2.0256548,7348.147,32976946.0,
Vietnam,VNM,2019,2.2873394,10252.005,95776712.0,
World,OWID_WRL,2019,3.779522,16847.46,7764951040.0,
Zambia,ZMB,2019,3.9692068,3372.359,18380478.0,
