Entity,Code,Year,Deaths - Tetanus - Sex: Both - Age: All Ages (Number)
East Asia & Pacific (WB),,1990,51107
East Asia & Pacific (WB),,1995,30728
East Asia & Pacific (WB),,2000,20233
East Asia & Pacific (WB),,2005,13845
East Asia & Pacific (WB),,2010,9080
East Asia & Pacific (WB),,2015,7281
East Asia & Pacific (WB),,2019,5120
Europe & Central Asia (WB),,1990,1073
Europe & Central Asia (WB),,1995,958
Europe & Central Asia (WB),,2000,579
Europe & Central Asia (WB),,2005,159
Europe & Central Asia (WB),,2010,100
Europe & Central Asia (WB),,2015,99
Europe & Central Asia (WB),,2019,75
Latin America & Caribbean (WB),,1990,3529
Latin America & Caribbean (WB),,1995,2026
Latin America & Caribbean (WB),,2000,1205
Latin America & Caribbean (WB),,2005,856
Latin America & Caribbean (WB),,2010,631
Latin America & Caribbean (WB),,2015,504
Latin America & Caribbean (WB),,2019,447
Middle East & North Africa (WB),,1990,3915
Middle East & North Africa (WB),,1995,2572
Middle East & North Africa (WB),,2000,1574
Middle East & North Africa (WB),,2005,1094
Middle East & North Africa (WB),,2010,768
Middle East & North Africa (WB),,2015,582
Middle East & North Africa (WB),,2019,452
North America (WB),,1990,20
North America (WB),,1995,11
North America (WB),,2000,10
North America (WB),,2005,7
North America (WB),,2010,8
North America (WB),,2015,8
North America (WB),,2019,8
South Asia (WB),,1990,174481
South Asia (WB),,1995,117088
South Asia (WB),,2000,88327
South Asia (WB),,2005,54915
South Asia (WB),,2010,29135
South Asia (WB),,2015,17533
South Asia (WB),,2019,12512
Sub-Saharan Africa (WB),,1990,41155
Sub-Saharan Africa (WB),,1995,40612
Sub-Saharan Africa (WB),,2000,40757
Sub-Saharan Africa (WB),,2005,30055
Sub-Saharan Africa (WB),,2010,23141
Sub-Saharan Africa (WB),,2015,19937
Sub-Saharan Africa (WB),,2019,16048
