Entity,Code,Year,"Agricultural machinery, tractors per 100 sq. km of arable land"
Bhutan,BTN,1990,3.7037036
Bhutan,BTN,2000,11.037736
Bhutan,BTN,2008,13.6
French Polynesia,PYF,1961,250.0
French Polynesia,PYF,1970,650.0
French Polynesia,PYF,1980,700.0
French Polynesia,PYF,1990,975.0
Gambia,GMB,1961,3.0578513
Gambia,GMB,1970,3.4615386
Gambia,GMB,1980,2.8301888
Ghana,GHA,1961,5.882353
Ghana,GHA,1970,12.258823
Ghana,GHA,1980,10.547368
Ghana,GHA,1990,7.125926
Ghana,GHA,2000,4.921519
Guam,GUM,1961,295.0
Guam,GUM,1970,350.0
Mali,MLI,1961,0.5433456
Mali,MLI,1970,3.3178115
Mali,MLI,1980,4.477612
Mali,MLI,1990,10.228933
Mali,MLI,2000,4.2188897
Slovenia,SVN,2000,6600.4624
United Arab Emirates,ARE,1961,244.0
United Arab Emirates,ARE,1970,200.0
United Arab Emirates,ARE,1980,100.0
United Arab Emirates,ARE,1990,51.42857
United Arab Emirates,ARE,2000,63.333332
