Entity,Code,Year,Rapeseed | 00000270 || Yield | 005419 || tonnes per hectare
Canada,CAN,1961,0.8853
Canada,CAN,1970,0.99909997
Canada,CAN,1980,1.1939
Canada,CAN,1990,1.2914
Canada,CAN,2000,1.4828
Canada,CAN,2010,1.8648
Canada,CAN,2021,1.5373
Czechoslovakia,OWID_CZS,1961,1.5458
Czechoslovakia,OWID_CZS,1970,1.8235999
Czechoslovakia,OWID_CZS,1980,2.3618
Czechoslovakia,OWID_CZS,1990,2.7784998
Net Food Importing Developing Countries (FAO),,1961,0.4297
Net Food Importing Developing Countries (FAO),,1970,0.5342
Net Food Importing Developing Countries (FAO),,1980,0.6332
Net Food Importing Developing Countries (FAO),,1990,0.6753
Net Food Importing Developing Countries (FAO),,2000,0.82369995
Net Food Importing Developing Countries (FAO),,2010,0.89839995
Net Food Importing Developing Countries (FAO),,2021,1.1848999
