Entity,Code,Year,The totalpopulation not using safely managed sanitation services
Bosnia and Herzegovina,BIH,2000,3089866.2
Bosnia and Herzegovina,BIH,2005,3014527.8
Bosnia and Herzegovina,BIH,2010,2697448.2
Bosnia and Herzegovina,BIH,2015,1963645.1
Malawi,MWI,2000,10350004.0
Malawi,MWI,2005,11472327.0
Malawi,MWI,2010,11635609.0
Malawi,MWI,2015,11580136.0
Malawi,MWI,2020,11221530.0
Malawi,MWI,2022,10979935.0
Montenegro,MNE,2010,422386.2
Montenegro,MNE,2015,355911.3
Montenegro,MNE,2020,293041.4
Montenegro,MNE,2022,267138.9
Serbia,SRB,2000,5616520.5
Serbia,SRB,2005,5558061.5
Serbia,SRB,2010,5490712.5
Serbia,SRB,2015,5479070.0
Serbia,SRB,2020,5457860.0
Serbia,SRB,2022,5388045.5
Slovakia,SVK,2000,820691.8
Slovakia,SVK,2005,849203.6
Slovakia,SVK,2010,902085.75
Slovakia,SVK,2015,947891.25
Slovakia,SVK,2020,955561.94
Slovakia,SVK,2022,987976.75
