Entity,Code,Year,Cantril ladder score
Australia,AUS,2022,7.0946
Australia,AUS,2020,7.1835
Australia,AUS,2018,7.228
Australia,AUS,2016,7.284
Australia,AUS,2014,7.284
Australia,AUS,2011,7.344625
Bhutan,BTN,2018,5.0821
Bhutan,BTN,2016,5.011
Bhutan,BTN,2014,5.253
Bolivia,BOL,2022,5.6843
Bolivia,BOL,2020,5.7159
Bolivia,BOL,2018,5.7793
Bolivia,BOL,2016,5.823
Bolivia,BOL,2014,5.89
Bolivia,BOL,2011,5.633493
Colombia,COL,2022,5.6304
Colombia,COL,2020,6.0124
Colombia,COL,2018,6.1248
Colombia,COL,2016,6.357
Colombia,COL,2014,6.477
Colombia,COL,2011,6.202322
Germany,DEU,2022,6.8918
Germany,DEU,2020,7.1545
Germany,DEU,2018,6.985
Germany,DEU,2016,6.951
Germany,DEU,2014,6.75
Germany,DEU,2011,6.572111
Norway,NOR,2022,7.3155
Norway,NOR,2020,7.3925
Norway,NOR,2018,7.5539
Norway,NOR,2016,7.537
Norway,NOR,2014,7.522
Norway,NOR,2011,7.524001
