Entity,Code,Year,"Number of new cases of tetanus per 100,000 people, in both sexes aged all ages"
France,FRA,1990,0.71614033
France,FRA,1995,0.4917506
France,FRA,2000,0.22548898
France,FRA,2005,0.10322757
France,FRA,2010,0.065235354
France,FRA,2015,0.044936627
France,FRA,2019,0.046137813
Guinea-Bissau,GNB,1990,18.165045
Guinea-Bissau,GNB,1995,13.2593355
Guinea-Bissau,GNB,2000,12.70003
Guinea-Bissau,GNB,2005,8.817743
Guinea-Bissau,GNB,2010,5.8189454
Guinea-Bissau,GNB,2015,4.204788
Guinea-Bissau,GNB,2019,3.044633
Iran,IRN,1990,0.48929873
Iran,IRN,1995,0.22535978
Iran,IRN,2000,0.11193354
Iran,IRN,2005,0.059264593
Iran,IRN,2010,0.049664207
Iran,IRN,2015,0.039084334
Iran,IRN,2019,0.031593867
Lesotho,LSO,1990,1.4479849
Lesotho,LSO,1995,1.1739179
Lesotho,LSO,2000,0.96761215
Lesotho,LSO,2005,0.8465426
Lesotho,LSO,2010,0.6405852
Lesotho,LSO,2015,0.43468422
Lesotho,LSO,2019,0.3140849
