Entity,Code,Year,"Literacy rate, adult total (% of total respondents) (DHS Surveys)","Literacy rate, adult total (% of people ages 15 and above)",Population (historical estimates),Continent
Afghanistan,AFG,2018,,,36686788.0,
Africa,,2018,,,1295265310.0,
Angola,AGO,2018,,,31273538.0,
Asia,,2018,,,4588802751.0,
Bangladesh,BGD,2018,,73.9122,163683952.0,
Benin,BEN,2018,,42.3624,11940688.0,
Burundi,BDI,2018,,,11493476.0,
Chad,TCD,2018,,,15604213.0,
Comoros,COM,2018,,58.81702,776322.0,
Cote d'Ivoire,CIV,2018,,,25493990.0,
Democratic Republic of Congo,COD,2018,,,87087352.0,
Ethiopia,ETH,2018,,,111129440.0,
Europe,,2018,,,746577709.0,
Gabon,GAB,2018,,84.66716,2192013.0,
Gambia,GMB,2018,,,2444916.0,
Ghana,GHA,2018,,79.03964,30870648.0,
Guinea,GIN,2018,,39.61768,12554871.0,
India,IND,2018,,74.37299,1369003264.0,
Indonesia,IDN,2018,,95.65856,267066848.0,
Lesotho,LSO,2018,,,2198030.0,
Liberia,LBR,2018,,,4889396.0,
Malawi,MWI,2018,,,18367886.0,
Myanmar,MMR,2018,,,52666016.0,
Nigeria,NGA,2018,,62.01601,198387616.0,
North America,,2018,,,585864285.0,
Pakistan,PAK,2018,,57.01057,219731488.0,
Rwanda,RWA,2018,,73.21559,12531810.0,
South America,,2018,,,424740741.0,
Tanzania,TZA,2018,,,58090444.0,
Togo,TGO,2018,,,8046680.0,
