Entity,Code,Year,Share of employment in services (Herrendorf et al. and GGDC-10 data),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2011,,,,1082676070.0,
Africa,,2015,,,,1201108186.0,
Argentina,ARG,2011,72.9,20003.0,,41520736.0,
Argentina,ARG,2015,,19502.0,,43257064.0,South America
Asia,,2011,,,,4268479060.0,
Asia,,2015,,,,4458250376.0,
Bolivia,BOL,2011,,5331.0,,10396249.0,
Bolivia,BOL,2015,,6200.0,,11090090.0,South America
Botswana,BWA,2011,,13376.0,,2134043.0,
Botswana,BWA,2015,,14805.0,,2305177.0,Africa
Brazil,BRA,2011,64.2,14831.0,,198185296.0,
Brazil,BRA,2015,,15826.0,,205188208.0,South America
Chile,CHL,2011,69.8,19705.0,,17173568.0,
Chile,CHL,2015,,21589.0,,17870122.0,South America
China,CHN,2011,36.2,10221.0,,1357095424.0,
China,CHN,2015,,12244.0,,1393715456.0,Asia
Colombia,COL,2011,,11788.0,,45308896.0,
Colombia,COL,2015,,13218.0,,47119728.0,South America
Egypt,EGY,2011,53.3,10737.0,,89200056.0,
Egypt,EGY,2015,,11159.0,,97723792.0,Africa
Ethiopia,ETH,2011,16.6,1199.0,,91817936.0,
Ethiopia,ETH,2015,,1553.0,,102471896.0,Africa
Europe,,2011,,,,738734474.0,
Europe,,2015,,,,743294457.0,
Ghana,GHA,2011,44.0,3283.0,,26205940.0,
Ghana,GHA,2015,,3809.0,,28870946.0,Africa
India,IND,2011,,4768.0,,1257621248.0,
India,IND,2015,,5794.0,,1322866560.0,Asia
Indonesia,IDN,2011,45.3,8849.0,,247099696.0,
Indonesia,IDN,2015,,10484.0,,259091968.0,Asia
Italy,ITA,2011,69.6,35151.0,,60025952.0,
Italy,ITA,2015,,33118.0,,60232908.0,Europe
Japan,JPN,2011,72.4,34979.0,,128007256.0,
Japan,JPN,2015,,37031.0,,127250936.0,Asia
Kenya,KEN,2011,36.2,2712.0,,42635148.0,
Kenya,KEN,2015,,3046.0,,46851496.0,Africa
Malawi,MWI,2011,,1102.0,,15146095.0,
Malawi,MWI,2015,,1124.0,,16938944.0,Africa
Malaysia,MYS,2011,60.6,19390.0,,29184140.0,
Malaysia,MYS,2015,,22432.0,,31068834.0,Asia
Mexico,MEX,2011,60.2,15210.0,,114150480.0,
Mexico,MEX,2015,,16096.0,,120149896.0,North America
Morocco,MAR,2011,47.1,7226.0,,32903708.0,
Morocco,MAR,2015,,8001.0,,34680456.0,Africa
Nigeria,NGA,2011,31.6,5136.0,,165463744.0,
Nigeria,NGA,2015,,5578.0,,183995776.0,Africa
North America,,2011,,,,548684151.0,
North America,,2015,,,,570726015.0,
Philippines,PHL,2011,52.0,5851.0,,96337912.0,
Philippines,PHL,2015,,7047.0,,103031360.0,Asia
Senegal,SEN,2011,,2123.0,,12875878.0,
Senegal,SEN,2015,,2311.0,,14356191.0,Africa
South America,,2011,,,,397135158.0,
South America,,2015,,,,413134461.0,
Sweden,SWE,2011,,42079.0,,9467384.0,
Sweden,SWE,2015,,43746.0,,9849344.0,Europe
Taiwan,TWN,2011,59.6,38565.0,,23143076.0,
Taiwan,TWN,2015,,41668.0,,23512136.0,Asia
Tanzania,TZA,2011,23.8,2227.0,,46416032.0,
Tanzania,TZA,2015,,2566.0,,52542824.0,Africa
Thailand,THA,2011,41.0,13318.0,,68712848.0,
Thailand,THA,2015,,15020.0,,70294408.0,Asia
United Kingdom,GBR,2011,79.1,34971.0,,63286360.0,
United Kingdom,GBR,2015,,36941.0,,65224368.0,Europe
United States,USA,2011,83.7,49675.0,,313876608.0,
United States,USA,2015,83.7,52591.0,,324607776.0,North America
Zambia,ZMB,2011,,3205.0,,14265824.0,
Zambia,ZMB,2015,,3478.0,,16248231.0,Africa
