Entity,Code,Year,"Homicide rate per 100,000 population - Both Sexes - All ages"
Brazil,BRA,1980,11.387221
Brazil,BRA,1990,21.282265
Brazil,BRA,2000,25.84338
Brazil,BRA,2010,26.659052
Brazil,BRA,2019,20.86446
Colombia,COL,1953,29.372616
Colombia,COL,1960,30.770573
Colombia,COL,1990,73.34567
Colombia,COL,2000,73.07297
Colombia,COL,2010,41.020386
Colombia,COL,2019,25.986315
Thailand,THA,1970,16.5317
Thailand,THA,1980,25.648685
Thailand,THA,1990,8.5655775
Thailand,THA,2000,6.803264
Thailand,THA,2010,4.950774
Thailand,THA,2019,1.6209129
Venezuela,VEN,1960,6.9845014
Venezuela,VEN,1970,7.0355644
Venezuela,VEN,1980,11.6404915
Venezuela,VEN,1990,12.915068
Venezuela,VEN,2000,26.161457
Venezuela,VEN,2010,31.618214
