Entity,Code,Year,Number of patents in batteries,Number of patents in storage (general),Number of patents in storage (excluding batteries),Number of patents in thermal energy storage
World,OWID_WRL,2000,9065.0,147.0,156.0,500.0
World,OWID_WRL,2001,9150.0,215.0,193.0,399.0
World,OWID_WRL,2002,8534.0,238.0,233.0,497.0
World,OWID_WRL,2003,8394.0,234.0,171.0,543.0
World,OWID_WRL,2004,9104.0,348.0,259.0,461.0
World,OWID_WRL,2005,10428.0,483.0,233.0,555.0
World,OWID_WRL,2006,11721.0,537.0,245.0,613.0
World,OWID_WRL,2007,12346.0,668.0,420.0,561.0
World,OWID_WRL,2008,13847.0,886.0,420.0,622.0
World,OWID_WRL,2009,15610.0,1424.0,515.0,824.0
World,OWID_WRL,2010,21166.0,1620.0,761.0,845.0
World,OWID_WRL,2011,27063.0,1756.0,764.0,1025.0
World,OWID_WRL,2012,29944.0,1819.0,865.0,1126.0
World,OWID_WRL,2013,30167.0,1581.0,792.0,1311.0
World,OWID_WRL,2014,31113.0,2243.0,910.0,1348.0
World,OWID_WRL,2015,33210.0,2791.0,693.0,1485.0
World,OWID_WRL,2016,39932.0,3331.0,799.0,1787.0
World,OWID_WRL,2017,48122.0,3348.0,873.0,1976.0
World,OWID_WRL,2018,55344.0,3423.0,877.0,1817.0
World,OWID_WRL,2019,54607.0,3157.0,985.0,2116.0
World,OWID_WRL,2020,46442.0,3249.0,761.0,1913.0
World,OWID_WRL,2021,10991.0,1271.0,322.0,579.0
