Entity,Code,Year,Vegetables | 00002918 || Food available for consumption | 0645pc || kilograms per year per capita,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2020,81.01867,1968.341,38972236.0,
Africa,,2020,64.25808,,1360677453.0,
Albania,ALB,2020,337.7652,13256.125,2866850.0,
Algeria,DZA,2020,218.2376,10844.7705,43451668.0,
Asia,,2020,181.07162,,4663086623.0,
Bangladesh,BGD,2020,45.83969,5591.374,167420944.0,
Belgium,BEL,2020,133.58162,48978.934,11561716.0,
Bulgaria,BGR,2020,86.56701,22483.598,6979181.0,
Burundi,BDI,2020,36.30415,711.3553,12220229.0,
Cameroon,CMR,2020,113.43404,3665.5105,26491090.0,
China,CHN,2020,384.25272,16296.779,1424929792.0,
Croatia,HRV,2020,350.56714,26950.719,4096872.0,
Ecuador,ECU,2020,21.8374,10356.975,17588596.0,
Egypt,EGY,2020,141.87674,11380.847,107465128.0,
Ethiopia,ETH,2020,13.10608,2253.2358,117190920.0,
Europe,,2020,106.56389,,747462669.0,
Germany,DEU,2020,91.84873,51840.33,83328992.0,
Greece,GRC,2020,156.30264,27103.541,10512232.0,
Guatemala,GTM,2020,68.142815,8390.223,17362716.0,
Guyana,GUY,2020,276.32605,18430.57,797207.0,
High-income countries,,2020,106.75213,47614.09,1218093003.0,
Indonesia,IDN,2020,47.690414,11515.74,271857984.0,
Ireland,IRL,2020,79.00667,91099.75,4946123.0,
Japan,JPN,2020,95.22738,39935.465,125244760.0,
Kyrgyzstan,KGZ,2020,188.25558,4726.197,6424880.0,
Laos,LAO,2020,211.7243,7763.9487,7319397.0,
Lebanon,LBN,2020,124.24083,13780.958,5662924.0,
Libya,LBY,2020,192.25104,16924.15,6653946.0,
Low-income countries,,2020,44.98431,1970.1681,680258922.0,
Lower-middle-income countries,,2020,84.43439,6930.9463,3369707355.0,
Madagascar,MDG,2020,13.990129,1436.2069,28225182.0,
Malawi,MWI,2020,85.49562,1489.6014,19377058.0,
Malaysia,MYS,2020,62.850506,25830.973,33199988.0,
Mali,MLI,2020,135.49823,2123.8281,21224042.0,
Mexico,MEX,2020,63.423492,18327.99,125998296.0,
Mozambique,MOZ,2020,31.768465,1232.9856,31178242.0,
Myanmar,MMR,2020,82.38385,4947.0938,53423200.0,
Nepal,NPL,2020,135.66376,3761.8027,29348626.0,
Niger,NER,2020,127.44136,1214.5465,24333644.0,
Nigeria,NGA,2020,67.81031,4865.087,208327408.0,
North America,,2020,96.06186,,594263186.0,
Oceania,,2020,72.36752,,43933757.0,
Oman,OMN,2020,210.30511,33098.21,4543406.0,
Pakistan,PAK,2020,25.822996,5004.352,227196736.0,
Panama,PAN,2020,25.058353,25510.273,4294391.0,
Qatar,QAT,2020,153.44643,89019.07,2760390.0,
Romania,ROU,2020,140.09189,29062.473,19442040.0,
Russia,RUS,2020,99.66658,26583.797,145617328.0,
Saudi Arabia,SAU,2020,72.11886,42891.688,35997108.0,
Senegal,SEN,2020,161.0812,3383.8884,16436120.0,
South America,,2020,51.919823,,431530105.0,
South Korea,KOR,2020,189.9478,42396.76,51844688.0,
Sri Lanka,LKA,2020,68.662186,13095.761,21715076.0,
Sudan,SDN,2020,81.58992,3874.8003,44440484.0,
Tajikistan,TJK,2020,267.16425,3651.9421,9543211.0,
Thailand,THA,2020,40.722378,16848.584,71475664.0,
Uganda,UGA,2020,29.70797,2240.4902,44404608.0,
Upper-middle-income countries,,2020,254.4512,17017.123,2541463877.0,
Uzbekistan,UZB,2020,254.93231,7344.22,33526662.0,
Vietnam,VNM,2020,174.49677,10450.622,96648680.0,
World,OWID_WRL,2020,138.98659,16175.776,7840952832.0,
Zambia,ZMB,2020,19.911076,3183.651,18927716.0,
