Entity,Code,Year,Milk - Excluding Butter | 00002848 || Food available for consumption | 0645pc || kilograms per year per capita
Bermuda,BMU,1961,191.98024
Bermuda,BMU,1970,197.49947
Bermuda,BMU,1980,182.68481
Bermuda,BMU,1990,128.13011
Bermuda,BMU,2000,122.09008
Ghana,GHA,1961,7.3895464
Ghana,GHA,1970,9.555568
Ghana,GHA,1980,2.9587646
Ghana,GHA,1990,3.2767775
Ghana,GHA,2000,5.9062934
Ghana,GHA,2010,2.2575963
Ghana,GHA,2020,1.969795
Russia,RUS,2000,145.91862
Russia,RUS,2010,156.22838
Russia,RUS,2020,152.6918
