Entity,Code,Year,Individuals using the Internet (% of population)
East Asia and Pacific (WB),,1990,0.0073482394
East Asia and Pacific (WB),,1995,0.19508868
East Asia and Pacific (WB),,2000,5.637984
East Asia and Pacific (WB),,2005,14.730856
East Asia and Pacific (WB),,2010,34.22893
East Asia and Pacific (WB),,2015,48.862415
East Asia and Pacific (WB),,2021,73.13559
Europe and Central Asia (WB),,1990,0.048030835
Europe and Central Asia (WB),,1995,0.9894896
Europe and Central Asia (WB),,2000,13.126985
Europe and Central Asia (WB),,2005,35.09439
Europe and Central Asia (WB),,2010,57.012157
Europe and Central Asia (WB),,2015,69.97491
Europe and Central Asia (WB),,2021,86.53363
Latin America and Caribbean (WB),,1990,0.0
Latin America and Caribbean (WB),,1995,0.10557496
Latin America and Caribbean (WB),,2000,3.8756082
Latin America and Caribbean (WB),,2005,16.614693
Latin America and Caribbean (WB),,2010,34.73541
Latin America and Caribbean (WB),,2015,54.397583
Middle East and North Africa (WB),,1990,0.0020725408
Middle East and North Africa (WB),,1995,0.03176988
Middle East and North Africa (WB),,2000,1.7276124
Middle East and North Africa (WB),,2005,9.775814
Middle East and North Africa (WB),,2010,24.85815
Middle East and North Africa (WB),,2015,44.493862
North America (WB),,1990,0.74207324
North America (WB),,1995,8.732886
North America (WB),,2000,43.884655
North America (WB),,2005,68.32896
North America (WB),,2010,72.5394
North America (WB),,2015,76.08974
South Asia (WB),,1990,0.0
South Asia (WB),,1995,0.019977266
South Asia (WB),,2000,0.47542065
South Asia (WB),,2005,2.5869167
South Asia (WB),,2010,7.1692076
South Asia (WB),,2015,14.160776
Sub-Saharan Africa (WB),,1990,0.0
Sub-Saharan Africa (WB),,1995,0.051620305
Sub-Saharan Africa (WB),,2000,0.51690954
Sub-Saharan Africa (WB),,2005,2.0158885
Sub-Saharan Africa (WB),,2010,6.137968
Sub-Saharan Africa (WB),,2015,16.103184
World,OWID_WRL,1990,0.048824694
World,OWID_WRL,1995,0.68308204
World,OWID_WRL,2000,6.7437196
World,OWID_WRL,2005,15.674662
World,OWID_WRL,2010,28.79489
World,OWID_WRL,2015,40.292362
