Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Neonatal mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Births attended by skilled health staff (% of total),Continent
Afghanistan,AFG,2021,3.4087882,,
Algeria,DZA,2021,1.5649197,,
Antigua and Barbuda,ATG,2021,0.33157292,,
Argentina,ARG,2021,0.51333565,,
Azerbaijan,AZE,2021,0.9509099,,
Bahamas,BHS,2021,0.71500504,,
Bangladesh,BGD,2021,1.6004099,,
Belarus,BLR,2021,0.08733005,,
Bolivia,BOL,2021,1.3180846,,
Central African Republic,CAF,2021,3.1912408,,
Dominica,DMA,2021,2.8283718,,
Dominican Republic,DOM,2021,2.294744,,
Ethiopia,ETH,2021,2.6188874,,
Europe,,2021,0.24559669,,
Fiji,FJI,2021,1.3748171,99.8,
Gambia,GMB,2021,2.52952,,
Guinea-Bissau,GNB,2021,3.4303505,,
India,IND,2021,1.911843,89.4,
Indonesia,IDN,2021,1.1326553,,
Kiribati,KIR,2021,2.0781856,,
Liberia,LBR,2021,2.992725,,
Low-income countries,,2021,2.673548,,
Lower-middle-income countries,,2021,2.1234164,,
Madagascar,MDG,2021,2.4115672,45.8,
Malawi,MWI,2021,1.929918,,
Mauritania,MRT,2021,2.2613356,70.4,
Nepal,NPL,2021,1.6166083,,
North America,,2021,0.32830855,,
Oceania,,2021,1.0182221,,
Pakistan,PAK,2021,3.944352,,
Rwanda,RWA,2021,1.7524109,,
Samoa,WSM,2021,0.65631235,,
Sierra Leone,SLE,2021,3.093599,,
Somalia,SOM,2021,3.595326,,
World,OWID_WRL,2021,1.7552086,,
