Entity,Code,Year,Tomatoes | 00000388 || Production | 005510 || tonnes
Brazil,BRA,1961,390992.0
Brazil,BRA,1970,764119.0
Brazil,BRA,1980,1535331.0
Brazil,BRA,1990,2260871.0
Brazil,BRA,2000,3004797.0
Brazil,BRA,2010,4106846.0
Brazil,BRA,2021,3679160.0
China,CHN,1961,4800000.0
China,CHN,1970,3645000.0
China,CHN,1980,5150000.0
China,CHN,1990,7500000.0
China,CHN,2000,22200000.0
China,CHN,2010,46760000.0
China,CHN,2021,67538340.0
India,IND,1961,464000.0
India,IND,1970,620000.0
India,IND,1980,1500000.0
India,IND,1990,4603446.0
India,IND,2000,7430000.0
India,IND,2010,12433200.0
India,IND,2021,21181000.0
Russia,RUS,2000,1508968.0
Russia,RUS,2010,2049640.0
Russia,RUS,2021,3059885.5
United States,USA,1961,4820709.0
United States,USA,1970,5416500.0
United States,USA,1980,6785930.0
United States,USA,1990,10927000.0
United States,USA,2000,12622261.0
United States,USA,2010,14053000.0
United States,USA,2021,10475265.0
