Entity,Code,Year,egal_vdem_owid,egal_vdem_low_owid,egal_vdem_high_owid
Argentina,ARG,1900,0.333,0.259,0.419
Argentina,ARG,1920,0.477,0.385,0.584
Argentina,ARG,1940,0.444,0.353,0.529
Argentina,ARG,1960,0.72,0.655,0.814
Argentina,ARG,1980,0.462,0.367,0.546
Argentina,ARG,2000,0.774,0.72,0.853
Argentina,ARG,2022,0.749,0.684,0.823
Australia,AUS,1920,0.634,0.546,0.736
Australia,AUS,1940,0.642,0.549,0.731
Australia,AUS,1960,0.777,0.712,0.864
Australia,AUS,1980,0.864,0.82,0.935
Australia,AUS,2000,0.887,0.848,0.942
Australia,AUS,2022,0.832,0.785,0.901
Botswana,BWA,1900,0.077,0.027,0.109
Botswana,BWA,1920,0.077,0.027,0.109
Botswana,BWA,1940,0.077,0.027,0.109
Botswana,BWA,1960,0.093,0.038,0.132
Botswana,BWA,1980,0.534,0.428,0.629
Botswana,BWA,2000,0.693,0.612,0.778
Botswana,BWA,2022,0.646,0.569,0.741
China,CHN,1900,0.041,0.009,0.059
China,CHN,1920,0.183,0.119,0.249
China,CHN,1940,0.241,0.15,0.305
China,CHN,1960,0.533,0.441,0.627
China,CHN,1980,0.462,0.373,0.553
China,CHN,2000,0.388,0.292,0.468
China,CHN,2022,0.325,0.246,0.408
