Entity,Code,Year,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Rate)
United Kingdom,GBR,1990,1.51
United Kingdom,GBR,1995,2.15
United Kingdom,GBR,2000,3.32
United Kingdom,GBR,2005,3.45
United Kingdom,GBR,2010,3.84
United Kingdom,GBR,2015,4.1
United Kingdom,GBR,2019,3.95
United States,USA,1990,2.31
United States,USA,1995,3.17
United States,USA,2000,5.19
United States,USA,2005,8.69
United States,USA,2010,10.29
United States,USA,2015,15.31
United States,USA,2019,20.04
Uzbekistan,UZB,1990,0.17
Uzbekistan,UZB,1995,0.21
Uzbekistan,UZB,2000,0.29
Uzbekistan,UZB,2005,0.62
Uzbekistan,UZB,2010,0.57
Uzbekistan,UZB,2015,0.5
Uzbekistan,UZB,2019,0.56
