Entity,Code,Year,Sorghum | 00000083 || Yield | 005419 || tonnes per hectare
Algeria,DZA,1961,0.4526
Algeria,DZA,1970,0.8566
Algeria,DZA,1980,2.1852
Algeria,DZA,1990,1.6571
Algeria,DZA,2000,6.95
Algeria,DZA,2010,3.0286
Algeria,DZA,2021,3.6762
Austria,AUT,2010,6.7665997
Austria,AUT,2021,8.4123
China,CHN,1961,0.92649996
China,CHN,1970,1.6858
China,CHN,1980,2.5158
China,CHN,1990,3.6734998
China,CHN,2000,2.9025998
China,CHN,2010,4.4842
China,CHN,2021,4.7619
France,FRA,1961,2.3738
France,FRA,1970,3.2956998
France,FRA,1980,4.5541997
France,FRA,1990,4.1296
France,FRA,2000,6.2275
France,FRA,2010,5.5112
France,FRA,2021,5.6679
South Africa,ZAF,1961,1.0214
South Africa,ZAF,1970,1.1554999
South Africa,ZAF,1980,2.6931999
South Africa,ZAF,1990,1.7398
South Africa,ZAF,2000,3.3246
South Africa,ZAF,2010,2.2670999
South Africa,ZAF,2021,4.3698997
Spain,ESP,1961,0.6874
Spain,ESP,1970,4.0319
Spain,ESP,1980,4.8595
Spain,ESP,1990,5.3234
Spain,ESP,2000,4.7033
Spain,ESP,2010,5.1205997
Spain,ESP,2021,3.8083
United States,USA,1961,2.7442
United States,USA,1970,3.1604998
United States,USA,1980,2.9061
United States,USA,1990,3.9592
United States,USA,2000,3.8226
United States,USA,2010,4.5118
United States,USA,2021,4.3308997
