Entity,Code,Year,2.1.1 Number of undernourished people | 00000000024001 || Value | 006132 || million Number
Bangladesh,BGD,2001,20700000.0
Bangladesh,BGD,2005,19700000.0
Bangladesh,BGD,2010,22500000.0
Bangladesh,BGD,2015,21800000.0
Bangladesh,BGD,2020,18800000.0
Brazil,BRA,2001,18900000.0
Brazil,BRA,2005,12100000.0
Brazil,BRA,2010,7300000.0
Brazil,BRA,2020,8600000.0
Chad,TCD,2001,3400000.0
Chad,TCD,2005,3800000.0
Chad,TCD,2010,3800000.0
Chad,TCD,2015,3900000.0
Chad,TCD,2020,5400000.0
India,IND,2001,198300000.0
India,IND,2005,247800000.0
India,IND,2010,195900000.0
India,IND,2015,190500000.0
India,IND,2020,224300000.0
Nigeria,NGA,2001,11200000.0
Nigeria,NGA,2005,9900000.0
Nigeria,NGA,2010,13000000.0
Nigeria,NGA,2015,16600000.000000002
Nigeria,NGA,2020,26200000.0
Pakistan,PAK,2001,30800000.0
Pakistan,PAK,2005,28200000.0
Pakistan,PAK,2010,27500000.0
Pakistan,PAK,2015,25500000.0
Pakistan,PAK,2020,37200000.0
