Entity,Code,Year,Primary energy consumption - TWh
Africa (EI),,1965,716.3206
Africa (EI),,1970,893.03534
Africa (EI),,1980,1692.1438
Africa (EI),,1990,2607.7954
Africa (EI),,2000,3195.7798
Africa (EI),,2010,4450.7515
Africa (EI),,2022,5626.826
Asia Pacific (EI),,1965,5235.806
Asia Pacific (EI),,1970,8282.044
Asia Pacific (EI),,1980,13713.645
Asia Pacific (EI),,1990,21162.268
Asia Pacific (EI),,2000,31365.73
Asia Pacific (EI),,2010,54725.09
Asia Pacific (EI),,2022,77109.75
Europe (EI),,1965,12412.4
Europe (EI),,1970,16037.899
Europe (EI),,1980,20122.844
Europe (EI),,1990,25163.512
Europe (EI),,2000,24472.893
Europe (EI),,2010,24884.04
Europe (EI),,2022,22169.146
Middle East (EI),,1965,538.785
Middle East (EI),,1970,706.6185
Middle East (EI),,1980,1464.8611
Middle East (EI),,1990,2990.031
Middle East (EI),,2000,4768.0425
Middle East (EI),,2010,8149.736
Middle East (EI),,2022,10869.412
North America (EI),,1965,16122.0625
North America (EI),,1970,20478.436
North America (EI),,1980,24369.975
North America (EI),,1990,26934.266
North America (EI),,2000,31886.191
North America (EI),,2010,31827.924
North America (EI),,2022,32994.027
South and Central America (EI),,1965,1365.6196
South and Central America (EI),,1970,1776.9296
South and Central America (EI),,1980,3131.7798
South and Central America (EI),,1990,3999.1946
South and Central America (EI),,2000,5815.8257
South and Central America (EI),,2010,7452.979
South and Central America (EI),,2022,8363.304
