Entity,Code,Year,Combined - percentage of youth and adults aged between 15 and 64 years with no education
Armenia,ARM,2020,0.6
Bolivia,BOL,1870,98.6
Bolivia,BOL,1880,97.8
Bolivia,BOL,1900,94.8
Bolivia,BOL,1920,86.4
Bolivia,BOL,1940,73.6
Bolivia,BOL,1960,55.0
Bolivia,BOL,1980,28.2
Bolivia,BOL,2000,8.9
Bolivia,BOL,2020,4.9
Spain,ESP,1870,74.2
Spain,ESP,1880,64.9
Spain,ESP,1900,50.0
Spain,ESP,1920,52.6
Spain,ESP,1940,56.7
Spain,ESP,1960,47.8
Spain,ESP,1980,24.1
Spain,ESP,2000,8.1
Spain,ESP,2020,0.7
Switzerland,CHE,1870,25.7
Switzerland,CHE,1880,20.7
Switzerland,CHE,1900,11.3
Switzerland,CHE,1920,3.3
Switzerland,CHE,1940,0.8
Switzerland,CHE,1960,0.2
Switzerland,CHE,1980,2.7
Switzerland,CHE,2000,11.5
Switzerland,CHE,2020,1.1
