Entity,Code,Year,Average annual rate of change of the urban population share (estimates),Average annual rate of change of the rural population share (projections)
Luxembourg,LUX,1955,0.3444192,
Luxembourg,LUX,1960,0.3322634,
Luxembourg,LUX,1980,0.69792706,
Luxembourg,LUX,2000,0.31668615,
Luxembourg,LUX,2010,0.44513527,
Luxembourg,LUX,2015,0.365262,
Luxembourg,LUX,2040,,-1.5332919
Luxembourg,LUX,2050,,-1.5290093
Luxembourg,LUX,2020,,-2.7788522
Monaco,MCO,1955,0.0,
Monaco,MCO,1960,0.0,
Monaco,MCO,1980,0.0,
Monaco,MCO,2000,0.0,
Monaco,MCO,2010,0.0,
Monaco,MCO,2015,0.0,
Monaco,MCO,2040,,0.0
Monaco,MCO,2050,,0.0
Monaco,MCO,2020,,0.0
Romania,ROU,1955,3.561046,
Romania,ROU,1960,2.2173607,
Romania,ROU,1980,1.4579968,
Romania,ROU,2000,-0.2865942,
Romania,ROU,2010,0.244856,
Romania,ROU,2015,0.021538122,
Romania,ROU,2040,,-1.2968756
Romania,ROU,2050,,-1.5235232
Romania,ROU,2020,,-0.13359638
Serbia,SRB,1955,3.689721,
Serbia,SRB,1960,3.4819565,
Serbia,SRB,1980,1.3527569,
Serbia,SRB,2000,0.42828682,
Serbia,SRB,2010,0.4078175,
Serbia,SRB,2015,0.25404853,
Serbia,SRB,2040,,-1.2732347
Serbia,SRB,2050,,-1.5378925
Serbia,SRB,2020,,-0.34146836
Turkmenistan,TKM,1955,0.31903952,
Turkmenistan,TKM,1960,0.31532282,
Turkmenistan,TKM,1980,-0.20246382,
Turkmenistan,TKM,2000,0.493482,
Turkmenistan,TKM,2010,0.6024968,
Turkmenistan,TKM,2015,0.73929554,
Turkmenistan,TKM,2040,,-1.4820026
Turkmenistan,TKM,2050,,-1.6114315
Turkmenistan,TKM,2020,,-0.9054002
