Entity,Code,Year,Hydro (TWh - equivalent)
Canada,CAN,1965,349.18494
Canada,CAN,1970,467.60938
Canada,CAN,1980,742.6419
Canada,CAN,1990,874.33234
Canada,CAN,2000,1054.9357
Canada,CAN,2010,975.2962
Canada,CAN,2022,1038.782
China,CHN,1965,65.34059
China,CHN,1970,71.07749
China,CHN,1980,172.1594
China,CHN,1990,374.78055
China,CHN,2000,657.664
China,CHN,2010,1974.5
China,CHN,2022,3397.4243
France,FRA,1965,138.62688
France,FRA,1970,167.60654
France,FRA,1980,205.58984
France,FRA,1990,159.28117
France,FRA,2000,196.23468
France,FRA,2010,174.06764
France,FRA,2022,116.24238
Sweden,SWE,1965,137.27231
Sweden,SWE,1970,122.682526
Sweden,SWE,1980,174.07204
Sweden,SWE,1990,214.40834
Sweden,SWE,2000,232.37202
Sweden,SWE,2010,186.45139
Sweden,SWE,2022,181.87082
