Entity,Code,Year,share_deforestation_domestic_consumption
Bangladesh,BGD,2005,99.90567003574866
Bangladesh,BGD,2006,99.91255369858368
Bangladesh,BGD,2007,99.96575724949504
Bangladesh,BGD,2008,99.96956639785704
Bangladesh,BGD,2009,99.86433666047586
Bangladesh,BGD,2010,99.79251364376267
Bangladesh,BGD,2011,99.81853622667504
Bangladesh,BGD,2012,99.830104585325
Bangladesh,BGD,2013,99.672655857704
Brazil,BRA,2005,75.58035654645941
Brazil,BRA,2006,75.64924973262096
Brazil,BRA,2007,76.47659048160304
Brazil,BRA,2008,81.45756521764122
Brazil,BRA,2009,83.48711031009731
Brazil,BRA,2010,84.45867778449609
Brazil,BRA,2011,84.73135484102175
Brazil,BRA,2012,80.50489294401547
Brazil,BRA,2013,78.5159233856999
Congo,COG,2005,92.1591284191484
Congo,COG,2006,92.26882418671777
Congo,COG,2007,92.3612505923214
Congo,COG,2008,95.706945006487
Congo,COG,2009,92.81463765303889
Congo,COG,2010,84.94824210447214
Congo,COG,2011,86.11707796581787
Congo,COG,2012,78.01172550130487
Congo,COG,2013,79.99098727580379
Indonesia,IDN,2005,59.111224769680405
Indonesia,IDN,2006,52.68854842342523
Indonesia,IDN,2007,53.3799309548988
Indonesia,IDN,2008,50.945604237407295
Indonesia,IDN,2009,47.50255648040233
Indonesia,IDN,2010,53.49342645689785
Indonesia,IDN,2011,52.89400060352486
Indonesia,IDN,2012,49.99492326949407
Indonesia,IDN,2013,49.157036879896104
Malaysia,MYS,2005,37.11140992693339
Malaysia,MYS,2006,37.16420781372024
Malaysia,MYS,2007,40.50829823683277
Malaysia,MYS,2008,41.07614755853321
Malaysia,MYS,2009,38.47610345960331
Malaysia,MYS,2010,35.57871227110976
Malaysia,MYS,2011,39.71003060078765
Malaysia,MYS,2012,38.75236715157106
Malaysia,MYS,2013,36.31050992945495
Paraguay,PRY,2005,39.38317698762423
Paraguay,PRY,2006,36.71809266070676
Paraguay,PRY,2007,37.03237232373105
Paraguay,PRY,2008,34.4571266734913
Paraguay,PRY,2009,25.183370076016203
Paraguay,PRY,2010,41.50545522295672
Paraguay,PRY,2011,46.178780228432835
Paraguay,PRY,2012,21.393867762829753
Paraguay,PRY,2013,32.42838740172363
Vietnam,VNM,2005,78.81740013153204
Vietnam,VNM,2006,79.6558637816467
Vietnam,VNM,2007,74.86339849362655
Vietnam,VNM,2008,81.43802024874685
Vietnam,VNM,2009,77.44428023787245
Vietnam,VNM,2010,56.27384991879835
Vietnam,VNM,2011,56.0495204905051
Vietnam,VNM,2012,60.06736039749715
Vietnam,VNM,2013,61.74346718408232
