Entity,Code,Year,Tomatoes | 00000388 || Yield | 005419 || tonnes per hectare
China,CHN,1961,16.0
China,CHN,1970,24.3
China,CHN,1980,22.3913
China,CHN,1990,24.671099
China,CHN,2000,33.1343
China,CHN,2010,49.377
China,CHN,2021,59.206997
India,IND,1961,9.28
India,IND,1970,9.5385
India,IND,1980,9.375
India,IND,1990,15.8587
India,IND,2000,16.152199
India,IND,2010,19.5984
India,IND,2021,25.0663
Spain,ESP,1961,22.1915
Spain,ESP,1970,24.9321
Spain,ESP,1980,35.3756
Spain,ESP,1990,45.2117
Spain,ESP,2000,60.4693
Spain,ESP,2010,72.7675
Spain,ESP,2021,84.7332
United States,USA,1961,25.4496
United States,USA,1970,34.130398
United States,USA,1980,43.0771
United States,USA,1990,55.186897
United States,USA,2000,74.9056
United States,USA,2010,88.5396
United States,USA,2021,95.904495
