Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Neonatal mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Continent
Afghanistan,AFG,2017,0.638,3.8020527,
Albania,ALB,2017,0.015,0.66833985,
Algeria,DZA,2017,0.112,1.546099,
Angola,AGO,2017,0.241,2.9183547,
Australia,AUS,2017,0.006,0.23313895,
Azerbaijan,AZE,2017,0.026,1.1769084,
Bahamas,BHS,2017,0.07,0.73658645,
Bangladesh,BGD,2017,0.173,2.0637984,
Barbados,BRB,2017,0.027,0.88880587,
Benin,BEN,2017,0.397,3.1118913,
Bhutan,BTN,2017,0.183,1.7101157,
Burkina Faso,BFA,2017,0.32,2.723152,
Burundi,BDI,2017,0.548,2.243671,
Cameroon,CMR,2017,0.529,2.800905,
Central African Republic,CAF,2017,0.8290000000000001,3.3594804,
Chad,TCD,2017,1.14,3.4532566,
Chile,CHL,2017,0.013,0.49804598,
Congo,COG,2017,0.378,1.9977093,
Democratic Republic of Congo,COD,2017,0.473,2.8523486,
Djibouti,DJI,2017,0.248,3.2404983,
Dominican Republic,DOM,2017,0.095,2.445641,
East Timor,TLS,2017,0.142,2.4064028,
Equatorial Guinea,GNQ,2017,0.301,3.0873427,
Eritrea,ERI,2017,0.48,1.8890822,
Eswatini,SWZ,2017,0.437,2.49518,
Europe,,2017,,0.2869838,
Gabon,GAB,2017,0.252,2.0893552,
Gambia,GMB,2017,0.597,2.7931151,
Ghana,GHA,2017,0.308,2.5161462,
Guinea,GIN,2017,0.5760000000000001,3.260715,
Haiti,HTI,2017,0.48,2.6250927,
Indonesia,IDN,2017,0.177,1.3088756,
Jamaica,JAM,2017,0.08,1.1787014,
Lesotho,LSO,2017,0.544,3.7418563,
Liberia,LBR,2017,0.661,3.183473,
Mali,MLI,2017,0.562,3.5760677,
Mauritania,MRT,2017,0.766,2.4781694,
Myanmar,MMR,2017,0.25,2.3783185,
Nigeria,NGA,2017,0.917,3.673535,
North America,,2017,,0.37491715,
Oceania,,2017,,1.0632026,
Pakistan,PAK,2017,0.14,4.329156,
Paraguay,PRY,2017,0.129,1.1072938,
South Sudan,SSD,2017,1.15,3.9878707,
Tajikistan,TJK,2017,0.017,1.5347294,
Togo,TGO,2017,0.396,2.6045089,
Turkmenistan,TKM,2017,0.007,2.4040809,
Yemen,YEM,2017,0.164,2.832768,
