Entity,Code,Year,"Average daily minutes of work in summer, weighted by employees (Atack and Bateman (1992))"
Agricultural Services,,1880,8.0333333494
All Industries,,1880,10.1166666869
Blacksmithing,,1880,10.4000000208
Chemicals,,1880,10.4500000209
Clothing,,1880,10.0166666867
Coke/Gas/Oil,,1880,10.1500000203
Construction,,1880,10.0166666867
Food,,1880,10.2666666872
Furniture,,1880,9.9833333533
Glass/Brick,,1880,10.0333333534
Leather,,1880,10.0666666868
Lumber,,1880,10.5166666877
Machinery,,1880,10.0500000201
Paper,,1880,10.4666666876
Printing,,1880,9.9000000198
Textiles,,1880,10.2666666872
Tobacco,,1880,10.166666687
