Entity,Code,Year,delibdem_vdem_owid,delibdem_vdem_low_owid,delibdem_vdem_high_owid
Argentina,ARG,1900,0.22,0.17,0.259
Argentina,ARG,1920,0.352,0.298,0.407
Argentina,ARG,1940,0.196,0.148,0.233
Argentina,ARG,1960,0.429,0.367,0.474
Argentina,ARG,1980,0.049,0.027,0.071
Argentina,ARG,2000,0.762,0.703,0.827
Argentina,ARG,2022,0.642,0.574,0.73
Australia,AUS,1920,0.694,0.633,0.754
Australia,AUS,1940,0.63,0.577,0.701
Australia,AUS,1960,0.739,0.688,0.805
Australia,AUS,1980,0.793,0.738,0.851
Australia,AUS,2000,0.805,0.75,0.856
Australia,AUS,2022,0.786,0.737,0.844
Botswana,BWA,1900,0.025,0.006,0.035
Botswana,BWA,1920,0.025,0.007,0.036
Botswana,BWA,1940,0.025,0.006,0.035
Botswana,BWA,1960,0.035,0.015,0.049
Botswana,BWA,1980,0.524,0.458,0.588
Botswana,BWA,2000,0.599,0.544,0.662
Botswana,BWA,2022,0.378,0.296,0.44
China,CHN,1900,0.019,0.006,0.026
China,CHN,1920,0.106,0.074,0.134
China,CHN,1940,0.097,0.067,0.128
China,CHN,1960,0.023,0.008,0.031
China,CHN,1980,0.128,0.092,0.16
China,CHN,2000,0.145,0.112,0.18
China,CHN,2022,0.079,0.044,0.101
