Entity,Code,Year,equal_res_vdem_owid,equal_res_vdem_low_owid,equal_res_vdem_high_owid
Argentina,ARG,1900,0.465,0.313,0.591
Argentina,ARG,1920,0.547,0.407,0.686
Argentina,ARG,1940,0.561,0.417,0.699
Argentina,ARG,1960,0.752,0.593,0.847
Argentina,ARG,1980,0.538,0.38,0.684
Argentina,ARG,2000,0.708,0.591,0.812
Argentina,ARG,2022,0.733,0.626,0.843
Australia,AUS,1920,0.703,0.567,0.806
Australia,AUS,1940,0.72,0.6,0.829
Australia,AUS,1960,0.846,0.733,0.916
Australia,AUS,1980,0.925,0.834,0.962
Australia,AUS,2000,0.941,0.878,0.975
Australia,AUS,2022,0.845,0.746,0.914
Botswana,BWA,1900,0.048,0.019,0.119
Botswana,BWA,1920,0.048,0.019,0.119
Botswana,BWA,1940,0.048,0.019,0.119
Botswana,BWA,1960,0.044,0.016,0.113
Botswana,BWA,1980,0.567,0.409,0.701
Botswana,BWA,2000,0.728,0.608,0.827
Botswana,BWA,2022,0.652,0.518,0.768
China,CHN,1900,0.017,0.005,0.045
China,CHN,1920,0.066,0.024,0.123
China,CHN,1940,0.093,0.045,0.182
China,CHN,1960,0.381,0.256,0.512
China,CHN,1980,0.442,0.323,0.576
China,CHN,2000,0.411,0.296,0.549
China,CHN,2022,0.334,0.223,0.466
