Entity,Code,Year,Number of wildfires - comparable data (NIFC)
United States,USA,1983,18229
United States,USA,1985,82591
United States,USA,1987,71300
United States,USA,1989,48949
United States,USA,1991,75754
United States,USA,1993,58810
United States,USA,1995,82234
United States,USA,1997,66196
United States,USA,1999,92487
United States,USA,2001,84079
United States,USA,2003,63629
United States,USA,2005,66753
United States,USA,2007,85705
United States,USA,2009,78792
United States,USA,2011,74126
United States,USA,2013,47579
United States,USA,2015,68151
United States,USA,2017,71499
United States,USA,2020,58950
