Entity,Code,Year,OEC ECI Ranking (Observatory of Economic Complexity (2016)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2016,,,1232111820.0,
Algeria,DZA,2016,64.0,11888.323,40339328.0,
Argentina,ARG,2016,60.0,23189.527,43668236.0,
Asia,,2016,,,4502955714.0,
Australia,AUS,2016,55.0,48109.203,24195706.0,
Belarus,BLR,2016,30.0,17883.127,9708111.0,
Bosnia and Herzegovina,BIH,2016,39.0,12837.599,3480985.0,
Brazil,BRA,2016,44.0,14402.494,206859584.0,
Cambodia,KHM,2016,66.0,3761.9114,15624586.0,
Canada,CAN,2016,29.0,47457.586,36113532.0,
Chile,CHL,2016,69.0,24599.375,18083880.0,
China,CHN,2016,18.0,13399.138,1401889664.0,
Costa Rica,CRI,2016,47.0,19553.6,4945205.0,
Croatia,HRV,2016,27.0,25999.834,4223748.0,
Czechia,CZE,2016,9.0,37014.96,10527584.0,
Denmark,DNK,2016,21.0,54185.008,5706856.0,
Ecuador,ECU,2016,82.0,11587.825,16439588.0,
Ethiopia,ETH,2016,81.0,1864.4877,105293232.0,
Europe,,2016,,,744516175.0,
France,FRA,2016,13.0,43705.15,63989320.0,
Greece,GRC,2016,48.0,28239.92,10749742.0,
Hong Kong,HKG,2016,12.0,58098.395,7435925.0,
India,IND,2016,37.0,5789.678,1338636288.0,
Indonesia,IDN,2016,51.0,10519.295,261850176.0,
Italy,ITA,2016,17.0,40837.74,60118628.0,
Jamaica,JAM,2016,61.0,9906.04,2802699.0,
Japan,JPN,2016,2.0,40727.97,126993856.0,
Kyrgyzstan,KGZ,2016,57.0,4912.3823,6018303.0,
Laos,LAO,2016,79.0,6850.581,6891366.0,
Malaysia,MYS,2016,14.0,24859.799,31526414.0,
Mali,MLI,2016,73.0,2112.187,18700108.0,
Mauritania,MRT,2016,85.0,5080.809,4051896.0,
Mexico,MEX,2016,25.0,19830.963,121519224.0,
Morocco,MAR,2016,75.0,7632.1855,35107272.0,
New Zealand,NZL,2016,46.0,41620.348,4668088.0,
North America,,2016,,,576008328.0,
North Macedonia,MKD,2016,53.0,15556.255,2110194.0,
Oceania,,2016,,,41101240.0,
Oman,OMN,2016,56.0,35229.953,4398080.0,
Pakistan,PAK,2016,74.0,4746.718,213524848.0,
Paraguay,PRY,2016,72.0,13163.74,6266623.0,
Peru,PER,2016,76.0,12321.318,31132776.0,
Philippines,PHL,2016,38.0,7616.05,104875272.0,
Poland,POL,2016,22.0,28497.104,38532108.0,
Portugal,PRT,2016,36.0,31847.537,10332751.0,
Russia,RUS,2016,34.0,25490.709,145109152.0,
Serbia,SRB,2016,35.0,16185.742,7493288.0,
Slovakia,SVK,2016,19.0,29248.885,5431205.0,
South America,,2016,,,417101806.0,
Spain,ESP,2016,28.0,38476.79,46473320.0,
Sri Lanka,LKA,2016,68.0,12904.854,21425494.0,
Switzerland,CHE,2016,1.0,68813.64,8372902.0,
Tanzania,TZA,2016,80.0,2380.9314,54401804.0,
Tunisia,TUN,2016,43.0,10750.714,11685666.0,
Turkey,TUR,2016,41.0,25996.967,81019400.0,
United States,USA,2016,7.0,58972.902,327210208.0,
Zimbabwe,ZWE,2016,77.0,2286.6235,14452705.0,
