Entity,Code,Year,Number of severely food insecure people (million) (3-year average) | 00210071 || Value | 006132 || million Number
Latvia,LVA,2015,0.1
Latvia,LVA,2016,0.1
Latvia,LVA,2017,0.1
Latvia,LVA,2018,0.1
Latvia,LVA,2019,0.1
Latvia,LVA,2020,0.1
Low income economies (FAO),,2015,129.0
Low income economies (FAO),,2016,137.6
Low income economies (FAO),,2017,145.4
Low income economies (FAO),,2018,150.3
Low income economies (FAO),,2019,160.8
Low income economies (FAO),,2020,175.3
Russia,RUS,2015,1.0
Russia,RUS,2016,1.1
Russia,RUS,2017,0.9
Russia,RUS,2018,0.7
Russia,RUS,2019,0.4
Russia,RUS,2020,0.4
Singapore,SGP,2015,0.1
Singapore,SGP,2016,0.1
Singapore,SGP,2017,0.1
Singapore,SGP,2018,0.1
Singapore,SGP,2019,0.1
Singapore,SGP,2020,0.1
