Entity,Code,Year,Hydro (TWh growth - equivalent)
Central America (EI),,1966,0.4051075
Central America (EI),,1970,0.8152423
Central America (EI),,1980,2.0737362
Central America (EI),,1990,1.503128
Central America (EI),,2000,1.0944214
Central America (EI),,2010,6.475456
Central America (EI),,2022,4.3409348
Denmark,DNK,1966,0.0029569417
Denmark,DNK,1970,0.0059138834
Denmark,DNK,1980,0.015080556
Denmark,DNK,1990,0.015080832
Denmark,DNK,2000,-0.0008869469
Denmark,DNK,2010,0.0045102797
Denmark,DNK,2022,-0.004435554
Middle Africa (EI),,1966,0.4672041
Middle Africa (EI),,1970,1.4932795
Middle Africa (EI),,1980,1.0053768
Middle Africa (EI),,1990,-3.4241943
Middle Africa (EI),,2000,3.0776348
Middle Africa (EI),,2010,1.5988808
Middle Africa (EI),,2022,0.7633362
Non-OECD (EI),,1966,57.5448
Non-OECD (EI),,1970,85.0777
Non-OECD (EI),,1980,128.14954
Non-OECD (EI),,1990,96.29492
Non-OECD (EI),,2000,123.735596
Non-OECD (EI),,2010,371.9287
Non-OECD (EI),,2022,200.90332
Spain,ESP,1966,22.387371
Spain,ESP,1970,-8.371231
Spain,ESP,1980,-49.816383
Spain,ESP,1990,17.934135
Spain,ESP,2000,19.832527
Spain,ESP,2010,43.078514
Spain,ESP,2022,-29.975922
USSR,OWID_USS,1966,30.720154
USSR,OWID_USS,1970,27.192444
USSR,OWID_USS,1980,35.232483
