Entity,Code,Year,Country-reported HIV expenditure by funding source - Disaggregation: Total
Brazil,BRA,2006,565185860.0
Brazil,BRA,2008,623133500.0
Brazil,BRA,2010,734242600.0
Brazil,BRA,2012,694741500.0
Brazil,BRA,2014,804365950.0
Brazil,BRA,2018,699139300.0
Brazil,BRA,2020,559236030.0
Brazil,BRA,2022,513536400.0
China,CHN,2006,138927260.0
China,CHN,2008,323834200.0
China,CHN,2010,586572400.0
China,CHN,2012,635813440.0
China,CHN,2014,989975550.0
China,CHN,2016,1047344960.0
China,CHN,2018,1212486400.0
China,CHN,2020,0.0
China,CHN,2022,1053771500.0
Democratic Republic of Congo,COD,2006,41689250.0
Democratic Republic of Congo,COD,2008,96365320.0
Democratic Republic of Congo,COD,2010,195554370.0
Democratic Republic of Congo,COD,2012,229278480.0
Democratic Republic of Congo,COD,2016,149439200.0
Democratic Republic of Congo,COD,2018,0.0
Democratic Republic of Congo,COD,2020,0.0
India,IND,2008,145589870.0
India,IND,2010,225715500.0
India,IND,2012,205808370.0
India,IND,2014,164330060.0
India,IND,2018,275000000.0
India,IND,2020,414285730.0
India,IND,2022,258195680.0
Russia,RUS,2006,304989820.0
Russia,RUS,2008,780172800.0
Russia,RUS,2014,512676060.0
South Africa,ZAF,2006,610975170.0
South Africa,ZAF,2014,1845779500.0
South Africa,ZAF,2016,0.0
South Africa,ZAF,2018,2501569000.0
South Africa,ZAF,2020,2407544000.0
Spain,ESP,2008,916739260.0
Spain,ESP,2010,980914000.0
Spain,ESP,2012,978031100.0
United Kingdom,GBR,2008,925714300.0
United Kingdom,GBR,2016,165587040.0
