Entity,Code,Year,8.2.1 - Annual growth rate of real GDP per employed person (%) - SL_EMP_PCAP
China,CHN,2000,7.18
China,CHN,2005,10.36
China,CHN,2010,10.42
China,CHN,2015,6.94
China,CHN,2020,6.01
China,CHN,2022,3.36
India,IND,2000,0.55
India,IND,2005,6.76
India,IND,2010,6.23
India,IND,2015,7.94
India,IND,2020,-1.96
India,IND,2022,3.13
United States,USA,2000,2.33
United States,USA,2005,1.62
United States,USA,2010,3.12
United States,USA,2015,0.98
United States,USA,2020,2.58
United States,USA,2022,-1.99
World,OWID_WRL,2000,2.45
World,OWID_WRL,2005,2.44
World,OWID_WRL,2010,3.23
World,OWID_WRL,2015,2.03
World,OWID_WRL,2020,-0.35
World,OWID_WRL,2022,0.54
