Entity,Code,Year,Annual CO₂ emissions from cement
Australia,AUS,1950,632365.0
Australia,AUS,2000,3620856.0
Australia,AUS,2022,2900471.0
China,CHN,1950,586903.0
China,CHN,2000,244388200.0
China,CHN,2022,763364540.0
India,IND,1950,1354077.0
India,IND,2000,45957012.0
India,IND,2022,164322960.0
South Africa,ZAF,1900,0.0
South Africa,ZAF,1950,912260.0
South Africa,ZAF,2000,3671550.0
South Africa,ZAF,2022,5282258.0
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,1395.0
United States,USA,1950,20124554.0
United States,USA,2000,41445308.0
United States,USA,2022,41417760.0
