Entity,Code,Year,$3.65 a day - Share of population in poverty,Share of population multidimensionally poor (national) - Current margin estimate,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,,24.640574,165516224.0,
Benin,BEN,2019,,,12290443.0,
Bolivia,BOL,2019,5.690216,,11777318.0,
Botswana,BWA,2019,,,2499705.0,
Brazil,BRA,2019,10.754982,,211782880.0,
Cameroon,CMR,2019,,,25782342.0,
Chad,TCD,2019,,84.17495,16126868.0,
China,CHN,2019,3.0115652,,1421864064.0,
Cote d'Ivoire,CIV,2019,,,26147544.0,
East Timor,TLS,2019,,,1280442.0,
Eswatini,SWZ,2019,,,1169620.0,
Ethiopia,ETH,2019,,68.736855,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,12.35582,,918472.0,
Gabon,GAB,2019,,,2242788.0,
Georgia,GEO,2019,18.470108,,3770814.0,
Ghana,GHA,2019,,,31522294.0,
Guatemala,GTM,2019,,,17106338.0,
Guinea-Bissau,GNB,2019,,,1970460.0,
India,IND,2019,45.894085,16.392805,1383112064.0,
Indonesia,IDN,2019,24.668669,,269582880.0,
Kenya,KEN,2019,,,50951452.0,
Kiribati,KIR,2019,19.46133,,124252.0,
Laos,LAO,2019,,,7212058.0,
Lesotho,LSO,2019,,,2225710.0,
Malawi,MWI,2019,89.059975,49.88339,18867340.0,
Mali,MLI,2019,,,20567430.0,
Mauritania,MRT,2019,,58.448082,4383853.0,
Mongolia,MNG,2019,,,3232435.0,
Mozambique,MOZ,2019,88.60357,61.933224,30285602.0,
Myanmar,MMR,2019,,,53040212.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,,223293280.0,
Philippines,PHL,2019,,,110380800.0,
Sao Tome and Principe,STP,2019,,11.712264,214612.0,
Senegal,SEN,2019,,50.83238,16000783.0,
Sierra Leone,SLE,2019,,59.221962,8046830.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,,,43232092.0,
Tanzania,TZA,2019,,,59872584.0,
Thailand,THA,2019,0.5808065,0.5777915,71307768.0,
Uganda,UGA,2019,71.92594,,42949076.0,
Vietnam,VNM,2019,,,95776712.0,
Zambia,ZMB,2019,,,18380478.0,
Zimbabwe,ZWE,2019,64.50986,25.80004,15354606.0,
