Entity,Code,Year,Renewables (TWh - equivalent)
Asia,,1965,422.89035
Asia,,1970,487.58813
Asia,,1980,783.02045
Asia,,1990,1370.6444
Asia,,2000,1806.3025
Asia,,2010,3830.0332
Asia,,2022,10879.1045
Azerbaijan,AZE,1990,4.902688
Azerbaijan,AZE,2000,4.5360217
Azerbaijan,AZE,2010,9.566865
Azerbaijan,AZE,2022,4.861487
Brazil,BRA,1965,75.447586
Brazil,BRA,1970,122.93911
Brazil,BRA,1980,406.40073
Brazil,BRA,1990,697.35394
Brazil,BRA,2000,1000.28723
Brazil,BRA,2010,1396.9084
Brazil,BRA,2022,1815.3224
Croatia,HRV,1990,11.618233
Croatia,HRV,2000,19.084349
Croatia,HRV,2010,25.822374
Croatia,HRV,2022,25.465202
Latvia,LVA,1990,13.294623
Latvia,LVA,2000,8.350537
Latvia,LVA,2010,10.429333
Latvia,LVA,2022,10.674605
