Entity,Code,Year,Deaths - Drug use disorders - Sex: Both - Age: Age-standardized (Rate)
Bhutan,BTN,1990,0.25
Bhutan,BTN,1995,0.25
Bhutan,BTN,2000,0.25
Bhutan,BTN,2005,0.25
Bhutan,BTN,2010,0.26
Bhutan,BTN,2015,0.27
Bhutan,BTN,2019,0.29
Cote d'Ivoire,CIV,1990,0.24
Cote d'Ivoire,CIV,1995,0.29
Cote d'Ivoire,CIV,2000,0.27
Cote d'Ivoire,CIV,2005,0.25
Cote d'Ivoire,CIV,2010,0.23
Cote d'Ivoire,CIV,2015,0.23
Cote d'Ivoire,CIV,2019,0.23
El Salvador,SLV,1990,0.2
El Salvador,SLV,1995,0.23
El Salvador,SLV,2000,0.17
El Salvador,SLV,2005,0.13
El Salvador,SLV,2010,0.15
El Salvador,SLV,2015,0.17
El Salvador,SLV,2019,0.18
Micronesia (country),FSM,1990,0.77
Micronesia (country),FSM,1995,0.81
Micronesia (country),FSM,2000,0.8
Micronesia (country),FSM,2005,0.77
Micronesia (country),FSM,2010,0.81
Micronesia (country),FSM,2015,0.87
Micronesia (country),FSM,2019,0.92
Myanmar,MMR,1990,0.38
Myanmar,MMR,1995,0.4
Myanmar,MMR,2000,0.42
Myanmar,MMR,2005,0.4
Myanmar,MMR,2010,0.39
Myanmar,MMR,2015,0.39
Myanmar,MMR,2019,0.4
South Asia (WB),,1990,0.54
South Asia (WB),,1995,0.55
South Asia (WB),,2000,0.62
South Asia (WB),,2005,0.67
South Asia (WB),,2010,0.58
South Asia (WB),,2015,0.58
South Asia (WB),,2019,0.62
Yemen,YEM,1990,0.58
Yemen,YEM,1995,0.65
Yemen,YEM,2000,0.78
Yemen,YEM,2005,0.88
Yemen,YEM,2010,0.94
Yemen,YEM,2015,1.03
Yemen,YEM,2019,1.15
