Entity,Code,Year,RotaC (% of one-year-olds immunized)
European Region (WHO),,2006,0
European Region (WHO),,2008,0
European Region (WHO),,2010,1
European Region (WHO),,2012,3
European Region (WHO),,2014,12
European Region (WHO),,2016,23
European Region (WHO),,2018,26
European Region (WHO),,2020,32
European Region (WHO),,2021,34
Ireland,IRL,2018,89
Ireland,IRL,2020,89
Ireland,IRL,2021,91
Morocco,MAR,2010,2
Morocco,MAR,2012,88
Morocco,MAR,2014,90
Morocco,MAR,2016,99
Morocco,MAR,2018,99
Morocco,MAR,2020,98
Morocco,MAR,2021,98
Panama,PAN,2006,82
Panama,PAN,2008,74
Panama,PAN,2010,89
Panama,PAN,2012,92
Panama,PAN,2014,87
Panama,PAN,2016,92
Panama,PAN,2018,95
Panama,PAN,2020,86
Panama,PAN,2021,86
South-East Asia Region (WHO),,2006,0
South-East Asia Region (WHO),,2008,0
South-East Asia Region (WHO),,2010,0
South-East Asia Region (WHO),,2012,0
South-East Asia Region (WHO),,2014,0
South-East Asia Region (WHO),,2016,3
South-East Asia Region (WHO),,2018,24
South-East Asia Region (WHO),,2020,58
South-East Asia Region (WHO),,2021,61
Tuvalu,TUV,2021,59
