Entity,Code,Year,"Death rate per 100,000 people - Cause: Drug use disorders - Sex: Both sexes - Age group: ALLAges",Population,Continent
Africa,,2000,1.0894215,818952374.0,
Africa,,2019,1.3128431,1327701380.0,
Asia,,2000,1.0306574,3735089775.0,
Asia,,2019,1.1699884,4627738749.0,
Australia,AUS,2000,8.08,19017968.0,
Australia,AUS,2019,7.07,25357168.0,
Belarus,BLR,2000,4.64,10256489.0,
Belarus,BLR,2019,4.11,9673971.0,
Cameroon,CMR,2000,2.33,15091598.0,
Cameroon,CMR,2019,3.58,25782342.0,
Canada,CAN,2000,5.32,30683316.0,
Canada,CAN,2019,9.86,37522584.0,
China,CHN,2000,1.6,1264099072.0,
China,CHN,2019,1.68,1421864064.0,
Europe,,2000,3.4388008,727917165.0,
Europe,,2019,3.0571985,747418251.0,
Germany,DEU,2000,2.13,81551680.0,
Germany,DEU,2019,2.31,83148144.0,
Guatemala,GTM,2000,5.93,11735893.0,
Guatemala,GTM,2019,1.54,17106338.0,
India,IND,2000,0.59,1059633664.0,
India,IND,2019,0.86,1383112064.0,
Iran,IRN,2000,4.05,65544380.0,
Iran,IRN,2019,2.7,86564208.0,
Libya,LBY,2000,4.45,5154789.0,
Libya,LBY,2019,5.47,6569085.0,
North America,,2000,3.875639,486364446.0,
North America,,2019,13.770911,590497015.0,
Norway,NOR,2000,7.6,4491204.0,
Norway,NOR,2019,4.9,5348285.0,
Oceania,,2000,5.2605367,31223133.0,
Oceania,,2019,4.423776,43278474.0,
Russia,RUS,2000,8.34,146844848.0,
Russia,RUS,2019,6.24,145742288.0,
Singapore,SGP,2000,0.12,4053602.0,
Singapore,SGP,2019,0.33,5866408.0,
South Africa,ZAF,2000,2.95,46813272.0,
South Africa,ZAF,2019,1.31,58087060.0,
South America,,2000,0.88447005,349634344.0,
South America,,2019,1.2505211,428318218.0,
United States,USA,2000,5.32,282398560.0,
United States,USA,2019,22.62,334319680.0,
World,OWID_WRL,2000,1.5612661,6148898816.0,
World,OWID_WRL,2019,2.3550298,7764951040.0,
