Entity,Code,Year,Hijacking fatalities,Fatalities from commercial airliners
World,OWID_WRL,1946,0.0,770.0
World,OWID_WRL,1949,1.0,1110.0
World,OWID_WRL,1952,2.0,723.0
World,OWID_WRL,1955,0.0,698.0
World,OWID_WRL,1958,19.0,1186.0
World,OWID_WRL,1961,3.0,1367.0
World,OWID_WRL,1964,0.0,1049.0
World,OWID_WRL,1967,1.0,1330.0
World,OWID_WRL,1970,7.0,1480.0
World,OWID_WRL,1973,87.0,2270.0
World,OWID_WRL,1976,15.0,1718.0
World,OWID_WRL,1979,0.0,1749.0
World,OWID_WRL,1982,1.0,1142.0
World,OWID_WRL,1985,65.0,2421.0
World,OWID_WRL,1988,12.0,1710.0
World,OWID_WRL,1991,6.0,1148.0
World,OWID_WRL,1994,8.0,1427.0
World,OWID_WRL,1997,1.0,1240.0
World,OWID_WRL,2000,5.0,1139.0
World,OWID_WRL,2003,0.0,666.0
World,OWID_WRL,2006,0.0,881.0
World,OWID_WRL,2009,0.0,725.0
World,OWID_WRL,2012,2.0,417.0
World,OWID_WRL,2015,0.0,537.0
World,OWID_WRL,2018,0.0,555.0
World,OWID_WRL,2021,0.0,123.0
