Entity,Code,Year,Poorest decile - Threshold,"GDP per capita, PPP (constant 2017 international $)",Population,Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,6602.424,32353592.0,
Asia,,2019,,,4627738749.0,
Belarus,BLR,2019,10.002091,19279.209,9673971.0,
Benin,BEN,2019,,3156.439,12290443.0,
Botswana,BWA,2019,,15117.995,2499705.0,
Brazil,BRA,2019,3.4222765,14685.128,211782880.0,
Cameroon,CMR,2019,,3756.5095,25782342.0,
Chile,CHL,2019,,24816.611,19039484.0,
China,CHN,2019,4.84,15977.764,1421864064.0,
Czechia,CZE,2019,21.06594,40989.727,10536876.0,
Ecuador,ECU,2019,3.6919491,11390.217,17343742.0,
Ethiopia,ETH,2019,,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
India,IND,2019,2.0,6608.624,1383112064.0,
Indonesia,IDN,2019,2.64,11857.789,269582880.0,
Iran,IRN,2019,4.4896746,14084.354,86564208.0,
Israel,ISR,2019,,40810.055,8607922.0,
Italy,ITA,2019,17.259033,42739.05,59727936.0,
Kiribati,KIR,2019,3.0477312,1990.518,124252.0,
Malawi,MWI,2019,0.7415027,1517.7031,18867340.0,
Mali,MLI,2019,,2219.0466,20567430.0,
Marshall Islands,MHL,2019,4.35691,5647.067,44750.0,
Mexico,MEX,2019,,20064.5,125085312.0,
Mozambique,MOZ,2019,0.5020316,1285.1848,30285602.0,
Myanmar,MMR,2019,,4829.5366,53040212.0,
Niger,NER,2019,,1217.446,23443400.0,
Nigeria,NGA,2019,,5076.368,203304496.0,
North America,,2019,,,590497015.0,
North Macedonia,MKD,2019,4.596356,16776.076,2114175.0,
Oceania,,2019,,,43278474.0,
Palestine,PSE,2019,,6245.4487,4909775.0,
Philippines,PHL,2019,,8731.861,110380800.0,
Portugal,PRT,2019,13.900171,34945.66,10289921.0,
Russia,RUS,2019,8.71011,27254.574,145742288.0,
Rwanda,RWA,2019,,2191.4016,12835029.0,
Senegal,SEN,2019,,3430.484,16000783.0,
South Africa,ZAF,2019,,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,,4133.1304,43232092.0,
Switzerland,CHE,2019,,70857.086,8575593.0,
Tanzania,TZA,2019,,2577.6658,59872584.0,
Turkey,TUR,2019,6.135094,28150.059,83481688.0,
Ukraine,UKR,2019,7.5533957,12804.955,44211100.0,
United States,USA,2019,23.742329,62478.254,334319680.0,
Vietnam,VNM,2019,,10252.005,95776712.0,
Zambia,ZMB,2019,,3372.359,18380478.0,
