Entity,Code,Year,Deaths - Tuberculosis - Sex: Both - Age: Under 5 (Number)
Cambodia,KHM,1990,1358
Cambodia,KHM,1995,1215
Cambodia,KHM,2000,902
Cambodia,KHM,2005,536
Cambodia,KHM,2010,291
Cambodia,KHM,2015,180
Cambodia,KHM,2019,112
Croatia,HRV,1990,0
Croatia,HRV,1995,0
Croatia,HRV,2000,0
Croatia,HRV,2005,0
Croatia,HRV,2010,0
Croatia,HRV,2015,0
Croatia,HRV,2019,0
Grenada,GRD,1990,0
Grenada,GRD,1995,0
Grenada,GRD,2000,0
Grenada,GRD,2005,0
Grenada,GRD,2010,0
Grenada,GRD,2015,0
Grenada,GRD,2019,0
Italy,ITA,1990,3
Italy,ITA,1995,2
Italy,ITA,2000,1
Italy,ITA,2005,1
Italy,ITA,2010,1
Italy,ITA,2015,0
Italy,ITA,2019,0
Malawi,MWI,1990,1789
Malawi,MWI,1995,1696
Malawi,MWI,2000,1314
Malawi,MWI,2005,904
Malawi,MWI,2010,701
Malawi,MWI,2015,569
Malawi,MWI,2019,387
