Entity,Code,Year,Sugar cane | 00000156 || Yield | 005419 || tonnes per hectare
Guinea,GIN,1980,51.1628
Guinea,GIN,1990,52.3256
Guinea,GIN,2000,51.9231
Guinea,GIN,2010,53.3962
Guinea,GIN,2021,53.7342
Iran,IRN,1961,77.3552
Iran,IRN,1970,121.61549
Iran,IRN,1980,68.7895
Iran,IRN,1990,65.872
Iran,IRN,2000,92.6969
Iran,IRN,2010,85.6505
Iran,IRN,2021,100.095894
Low Income Food Deficit Countries (FAO),,1961,44.799698
Low Income Food Deficit Countries (FAO),,1970,48.6166
Low Income Food Deficit Countries (FAO),,1980,48.8564
Low Income Food Deficit Countries (FAO),,1990,60.775497
Low Income Food Deficit Countries (FAO),,2000,65.8856
Low Income Food Deficit Countries (FAO),,2010,66.0373
Low Income Food Deficit Countries (FAO),,2021,74.0148
