Entity,Code,Year,Deaths - Respiratory infections and tuberculosis - Sex: Both - Age: Age-standardized (Rate)
France,FRA,1990,23.07
France,FRA,1995,22.95
France,FRA,2000,20.32
France,FRA,2005,15.84
France,FRA,2010,13.54
France,FRA,2015,12.66
France,FRA,2019,12.31
G20,,1990,88.71
G20,,1995,78.3
G20,,2000,67.91
G20,,2005,55.57
G20,,2010,46.05
G20,,2015,39.67
G20,,2019,35.05
Jamaica,JAM,1990,25.09
Jamaica,JAM,1995,23.58
Jamaica,JAM,2000,22.4
Jamaica,JAM,2005,14.7
Jamaica,JAM,2010,13.97
Jamaica,JAM,2015,14.81
Jamaica,JAM,2019,14.83
Kazakhstan,KAZ,1990,52.58
Kazakhstan,KAZ,1995,72.72
Kazakhstan,KAZ,2000,70.18
Kazakhstan,KAZ,2005,56.98
Kazakhstan,KAZ,2010,37.14
Kazakhstan,KAZ,2015,32.9
Kazakhstan,KAZ,2019,28.87
Libya,LBY,1990,31.39
Libya,LBY,1995,24.77
Libya,LBY,2000,23.14
Libya,LBY,2005,19.94
Libya,LBY,2010,21.27
Libya,LBY,2015,20.03
Libya,LBY,2019,20.24
North America (WB),,1990,22.65
North America (WB),,1995,21.76
North America (WB),,2000,18.47
North America (WB),,2005,15.68
North America (WB),,2010,13.47
North America (WB),,2015,13.34
North America (WB),,2019,13.4
