Entity,Code,Year,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Rate)
Canada,CAN,1990,0.0
Canada,CAN,1995,0.01
Canada,CAN,2000,0.0
Canada,CAN,2005,0.01
Canada,CAN,2010,0.05
Canada,CAN,2015,0.0
Canada,CAN,2019,0.0
East Asia & Pacific (WB),,1990,0.19
East Asia & Pacific (WB),,1995,0.12
East Asia & Pacific (WB),,2000,0.17
East Asia & Pacific (WB),,2005,0.09
East Asia & Pacific (WB),,2010,0.06
East Asia & Pacific (WB),,2015,0.1
East Asia & Pacific (WB),,2019,0.05
Eastern Mediterranean Region (WHO),,1990,3.97
Eastern Mediterranean Region (WHO),,1995,2.18
Eastern Mediterranean Region (WHO),,2000,2.0
Eastern Mediterranean Region (WHO),,2005,5.27
Eastern Mediterranean Region (WHO),,2010,5.32
Eastern Mediterranean Region (WHO),,2015,20.03
Eastern Mediterranean Region (WHO),,2019,6.95
G20,,1990,0.28
G20,,1995,0.22
G20,,2000,0.3
G20,,2005,0.12
G20,,2010,0.09
G20,,2015,0.08
G20,,2019,0.02
Laos,LAO,1990,6.14
Laos,LAO,1995,0.0
Laos,LAO,2000,0.15
Laos,LAO,2005,0.01
Laos,LAO,2010,0.0
Laos,LAO,2015,0.01
Laos,LAO,2019,0.0
Malta,MLT,1990,0.0
Malta,MLT,1995,0.26
Malta,MLT,2000,0.0
Malta,MLT,2005,0.0
Malta,MLT,2010,0.0
Malta,MLT,2015,0.0
Malta,MLT,2019,0.0
Niger,NER,1990,2.49
Niger,NER,1995,0.87
Niger,NER,2000,0.01
Niger,NER,2005,0.01
Niger,NER,2010,0.12
Niger,NER,2015,3.07
Niger,NER,2019,1.7
Paraguay,PRY,1990,0.02
Paraguay,PRY,1995,0.17
Paraguay,PRY,2000,0.0
Paraguay,PRY,2005,0.0
Paraguay,PRY,2010,0.03
Paraguay,PRY,2015,0.2
Paraguay,PRY,2019,0.0
