Entity,Code,Year,1.5.3 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR
Botswana,BWA,2017,0.12
Botswana,BWA,2018,0.52
Czechia,CZE,2015,0.88
Czechia,CZE,2016,0.9
Czechia,CZE,2017,0.93
Montenegro,MNE,2018,0.77
Montenegro,MNE,2019,0.0
Nauru,NRU,2015,0.52
Nauru,NRU,2016,0.62
Nauru,NRU,2017,0.55
Nauru,NRU,2018,0.55
Nauru,NRU,2019,0.55
Nauru,NRU,2020,0.6
Nauru,NRU,2021,0.6
Netherlands,NLD,2017,0.9
Solomon Islands,SLB,2014,0.35
Solomon Islands,SLB,2015,0.57
Solomon Islands,SLB,2016,0.47
Solomon Islands,SLB,2017,0.43
Solomon Islands,SLB,2018,0.52
Solomon Islands,SLB,2019,0.05
Solomon Islands,SLB,2020,0.77
Solomon Islands,SLB,2021,0.73
