Entity,Code,Year,Productivity: output per hour worked,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,29.42588,21826.838,44745516.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,4.791032,4658.01,165516224.0,
Brazil,BRA,2019,19.195236,14593.961,211782880.0,
Cambodia,KHM,2019,3.4332101,4500.0527,16207746.0,
China,CHN,2019,11.692401,14128.812,1421864064.0,
Ecuador,ECU,2019,15.255215,11235.628,17343742.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,68.8512,51190.89,83148144.0,
India,IND,2019,8.680879,6711.385,1383112064.0,
Ireland,IRL,2019,125.09254,102622.45,4896021.0,
Japan,JPN,2019,42.56412,39704.234,125791680.0,
Malaysia,MYS,2019,24.75438,25735.309,32804024.0,
Mexico,MEX,2019,20.339481,18736.527,125085312.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,100.325645,73668.79,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,8.772413,5026.2085,223293280.0,
Peru,PER,2019,11.008161,12236.712,32824864.0,
Philippines,PHL,2019,9.929681,8448.533,110380800.0,
Poland,POL,2019,37.07774,31985.158,38493600.0,
Russia,RUS,2019,29.547054,28526.293,145742288.0,
Singapore,SGP,2019,54.55258,82336.34,5866408.0,
South America,,2019,,,428318218.0,
Taiwan,TWN,2019,46.014313,46761.25,23777742.0,
Thailand,THA,2019,15.167234,17116.309,71307768.0,
Turkey,TUR,2019,43.692204,26947.576,83481688.0,
United Kingdom,GBR,2019,54.34881,44274.957,66778660.0,
United States,USA,2019,73.7004,62589.0,334319680.0,
Vietnam,VNM,2019,6.739149,7506.817,95776712.0,
