Entity,Code,Year,military_expenditure
Algeria,DZA,1970,225940509
Algeria,DZA,1980,703587346
Algeria,DZA,1990,661776640
Algeria,DZA,2000,2548482408
Algeria,DZA,2010,5349021367
Algeria,DZA,2019,10303600575
Algeria,DZA,2020,9957840537
Asia,,1951,165654991
Asia,,1960,18758264251
Asia,,1970,51717492813
Asia,,1980,137094073490
Asia,,1990,216463782566
Asia,,2000,264830626481
Asia,,2010,459560797135
Asia,,2019,617128801999
Asia,,2020,618573232430
Cameroon,CMR,1970,144503056
Cameroon,CMR,1980,198261998
Cameroon,CMR,1990,212039669
Cameroon,CMR,2000,228531594
Cameroon,CMR,2010,355070213
Cameroon,CMR,2019,422294772
Cameroon,CMR,2020,375736642
Iraq,IRQ,1960,313115405
Iraq,IRQ,1970,842494261
Iraq,IRQ,2010,4407040209
Iraq,IRQ,2019,7598829336
Iraq,IRQ,2020,6994394036
Ireland,IRL,1960,275247949
Ireland,IRL,1970,398815959
Ireland,IRL,1980,919506199
Ireland,IRL,1990,892679614
Ireland,IRL,2000,1148216863
Ireland,IRL,2010,1148060685
Ireland,IRL,2019,1112740708
Ireland,IRL,2020,1126308917
Kuwait,KWT,1980,2796514348
Kuwait,KWT,1990,19314690963
Kuwait,KWT,2000,4926050729
Kuwait,KWT,2010,5174420355
Kuwait,KWT,2019,7373519737
Kuwait,KWT,2020,6940123899
Laos,LAO,2000,35067231
Laos,LAO,2010,19789006
South Sudan,SSD,2010,1465342528
South Sudan,SSD,2019,186498925
Tunisia,TUN,1970,67745623
Tunisia,TUN,1980,194952916
Tunisia,TUN,1990,242384427
Tunisia,TUN,2000,326655315
Tunisia,TUN,2010,433722764
Tunisia,TUN,2019,1000922131
Tunisia,TUN,2020,1046117830
