Entity,Code,Year,"Agree ""Most people can be trusted"""
Canada,CAN,1984,47.68692
Canada,CAN,2010,41.79429
Canada,CAN,2022,46.69302
China,CHN,2010,49.28643
China,CHN,2022,63.48947
Egypt,EGY,2010,18.48929
Egypt,EGY,2022,7.333333
Ethiopia,ETH,2010,21.4
Ethiopia,ETH,2022,11.86992
France,FRA,1984,22.29873
France,FRA,2010,23.68455
France,FRA,2022,26.25627
Germany,DEU,1984,25.92423
Germany,DEU,2010,35.58326
Germany,DEU,2022,41.61021
Mexico,MEX,1984,17.028
Mexico,MEX,2010,15.44872
Mexico,MEX,2022,10.48835
Norway,NOR,1984,55.47098
Norway,NOR,2010,73.28255
Norway,NOR,2022,72.09141
Peru,PER,2010,6.202934
Peru,PER,2022,4.161271
Sweden,SWE,1984,52.09644
Sweden,SWE,2010,63.94534
Sweden,SWE,2022,62.76585
United States,USA,1984,39.2496
United States,USA,2010,39.13124
United States,USA,2022,37.02172
