Entity,Code,Year,Democratic electoral institutions
Czechia,CZE,2005,12
Czechia,CZE,2008,12
Czechia,CZE,2010,12
Czechia,CZE,2012,12
Czechia,CZE,2014,12
Czechia,CZE,2016,12
Czechia,CZE,2018,12
Czechia,CZE,2020,12
Czechia,CZE,2022,12
Djibouti,DJI,2005,4
Djibouti,DJI,2008,4
Djibouti,DJI,2010,4
Djibouti,DJI,2012,3
Djibouti,DJI,2014,3
Djibouti,DJI,2016,2
Djibouti,DJI,2018,2
Djibouti,DJI,2020,2
Djibouti,DJI,2022,2
Gaza Strip,,2010,5
Gaza Strip,,2012,5
Gaza Strip,,2014,2
Gaza Strip,,2016,0
Gaza Strip,,2018,0
Gaza Strip,,2020,0
Gaza Strip,,2022,0
Netherlands,NLD,2005,12
Netherlands,NLD,2008,12
Netherlands,NLD,2010,12
Netherlands,NLD,2012,12
Netherlands,NLD,2014,12
Netherlands,NLD,2016,12
Netherlands,NLD,2018,12
Netherlands,NLD,2020,12
Netherlands,NLD,2022,12
