Entity,Code,Year,Share under $2 per day
Afghanistan,AFG,1820,83.9736240542188
Afghanistan,AFG,1850,81.6153931696585
Afghanistan,AFG,1950,41.5276137400639
Afghanistan,AFG,2000,81.3651476784746
Afghanistan,AFG,2017,12.3051146191106
Austria,AUT,1820,33.1916657240184
Austria,AUT,1850,5.45064970097325
Austria,AUT,1950,0.391696355378581
Austria,AUT,2000,1.0317930773182498e-11
Austria,AUT,2017,1.35570413005442e-10
Belgium,BEL,1820,37.8534538322266
Belgium,BEL,1850,19.3862951702815
Belgium,BEL,1950,0.06411791743135
Belgium,BEL,2000,1.97369252749714e-09
Belgium,BEL,2017,6.27587839518763e-13
Bolivia,BOL,1820,53.267091539071
Bolivia,BOL,1850,40.5937605276668
Bolivia,BOL,1950,2.38135998601651
Bolivia,BOL,2000,10.7057441699365
Bolivia,BOL,2017,2.71184732489105
North Korea,PRK,1820,66.855284133838
North Korea,PRK,1850,60.8688844132191
North Korea,PRK,1950,9.41493698378869
North Korea,PRK,2000,30.1010048603608
North Korea,PRK,2017,28.6656799507467
North Macedonia,MKD,1820,76.5735324234394
North Macedonia,MKD,1850,65.476202162264
North Macedonia,MKD,1950,8.84484025203023
North Macedonia,MKD,2000,0.0267044611783535
North Macedonia,MKD,2017,0.027794479010219
