Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Rate)
Botswana,BWA,1990,92.51
Botswana,BWA,1995,479.96
Botswana,BWA,2000,943.69
Botswana,BWA,2005,681.56
Botswana,BWA,2010,366.98
Botswana,BWA,2015,267.87
Botswana,BWA,2019,239.98
Namibia,NAM,1990,18.97
Namibia,NAM,1995,151.23
Namibia,NAM,2000,429.02
Namibia,NAM,2005,502.72
Namibia,NAM,2010,244.74
Namibia,NAM,2015,200.48
Namibia,NAM,2019,156.98
South Africa,ZAF,1990,7.74
South Africa,ZAF,1995,89.99
South Africa,ZAF,2000,373.49
South Africa,ZAF,2005,622.18
South Africa,ZAF,2010,473.16
South Africa,ZAF,2015,312.4
South Africa,ZAF,2019,258.78
