Entity,Code,Year,Deaths - Drowning - Sex: Both - Age: Under 5 (Rate)
Malawi,MWI,1990,23.84
Malawi,MWI,1995,21.44
Malawi,MWI,2000,14.83
Malawi,MWI,2005,9.47
Malawi,MWI,2010,7.91
Malawi,MWI,2015,7.14
Malawi,MWI,2019,5.4
Moldova,MDA,1990,16.07
Moldova,MDA,1995,10.58
Moldova,MDA,2000,7.66
Moldova,MDA,2005,6.37
Moldova,MDA,2010,5.17
Moldova,MDA,2015,4.41
Moldova,MDA,2019,3.58
Palestine,PSE,1990,7.82
Palestine,PSE,1995,5.43
Palestine,PSE,2000,3.95
Palestine,PSE,2005,3.26
Palestine,PSE,2010,2.48
Palestine,PSE,2015,1.66
Palestine,PSE,2019,1.36
