Entity,Code,Year,Share of the urban population using safely managed drinking water services,Share of the rural population using safely managed drinking water services,Population (historical estimates),Continent
Algeria,DZA,2022,73.111015,63.149548,,
Bangladesh,BGD,2022,54.18856,62.350468,,
Bhutan,BTN,2022,58.859497,84.5769,,
Brazil,BRA,2022,88.85638,76.018555,,
Chad,TCD,2022,17.58653,2.653781,,
Colombia,COL,2022,81.22431,40.17546,,
Costa Rica,CRI,2022,80.38785,81.05455,,
Cote d'Ivoire,CIV,2022,58.774868,27.336279,,
Democratic Republic of Congo,COD,2022,24.151451,0.51261395,,
Dominican Republic,DOM,2022,46.878284,34.88531,,
Ethiopia,ETH,2022,38.57992,5.812465,,
Fiji,FJI,2022,52.520725,27.007463,,
Gambia,GMB,2022,67.769485,12.179041,,
Georgia,GEO,2022,87.979225,40.5335,,
Germany,DEU,2022,99.99624,99.639114,,
Guinea-Bissau,GNB,2022,36.274136,13.707252,,
Indonesia,IDN,2022,34.630238,24.255898,,
Iran,IRN,2022,96.194664,87.68601,,
Iraq,IRQ,2022,64.6,47.643463,,
Kyrgyzstan,KGZ,2022,91.84967,67.28497,,
Lesotho,LSO,2022,72.60846,9.244379,,
Malawi,MWI,2022,52.373898,10.168559,,
Morocco,MAR,2022,90.25856,46.6636,,
Myanmar,MMR,2022,72.39979,50.410183,,
North Macedonia,MKD,2022,84.61392,74.42142,,
Pakistan,PAK,2022,56.78444,46.855488,,
Palau,PLW,2022,97.69638,57.486176,,
Peru,PER,2022,59.82331,23.01089,,
Philippines,PHL,2022,61.914223,34.97937,,
Romania,ROU,2022,94.95351,66.65007,,
Samoa,WSM,2022,90.1915,56.20458,,
Senegal,SEN,2022,41.258217,12.649922,,
Serbia,SRB,2022,81.52028,66.57597,,
Sierra Leone,SLE,2022,12.249182,8.712065,,
Togo,TGO,2022,33.85986,8.106781,,
Turks and Caicos Islands,TCA,2022,46.542835,55.65155,,
Uganda,UGA,2022,45.085068,9.327637,,
Ukraine,UKR,2022,88.2692,86.11342,,
Vietnam,VNM,2022,75.76801,46.39446,,
