Entity,Code,Year,"Current number of cases of alcohol use disorders per 100 people, in both sexes aged age-standardized"
Argentina,ARG,1990,2.3869457
Argentina,ARG,1995,2.4673386
Argentina,ARG,2000,2.3923554
Argentina,ARG,2005,2.2912316
Argentina,ARG,2010,2.1077383
Argentina,ARG,2015,2.088836
Argentina,ARG,2019,2.11697
Armenia,ARM,1990,2.3798206
Armenia,ARM,1995,2.3570375
Armenia,ARM,2000,2.4240444
Armenia,ARM,2005,2.093136
Armenia,ARM,2010,2.0571597
Armenia,ARM,2015,1.8421017
Armenia,ARM,2019,2.002777
Czechia,CZE,1990,2.009529
Czechia,CZE,1995,2.1256344
Czechia,CZE,2000,2.1882133
Czechia,CZE,2005,2.2564592
Czechia,CZE,2010,2.2295852
Czechia,CZE,2015,2.232327
Czechia,CZE,2019,2.2526274
Israel,ISR,1990,0.9557038
Israel,ISR,1995,0.965015
Israel,ISR,2000,0.8981966
Israel,ISR,2005,0.89583546
Israel,ISR,2010,0.8644299
Israel,ISR,2015,0.8355366
Israel,ISR,2019,0.87673694
Lithuania,LTU,1990,2.735224
Lithuania,LTU,1995,2.6638114
Lithuania,LTU,2000,2.6228952
Lithuania,LTU,2005,2.1854784
Lithuania,LTU,2010,2.1565366
Lithuania,LTU,2015,2.1535006
Lithuania,LTU,2019,2.0347435
Micronesia (country),FSM,1990,0.7195666
Micronesia (country),FSM,1995,0.7121781
Micronesia (country),FSM,2000,0.71415573
Micronesia (country),FSM,2005,0.71673226
Micronesia (country),FSM,2010,0.71745205
Micronesia (country),FSM,2015,0.7119287
Micronesia (country),FSM,2019,0.72198826
Monaco,MCO,1990,2.2704148
Monaco,MCO,1995,2.2757492
Monaco,MCO,2000,2.2984107
Monaco,MCO,2005,2.2739356
Monaco,MCO,2010,2.2786143
Monaco,MCO,2015,2.2131696
Monaco,MCO,2019,2.2312088
Montenegro,MNE,1990,1.9214824
Montenegro,MNE,1995,1.9249306
Montenegro,MNE,2000,1.8867228
Montenegro,MNE,2005,1.8710674
Montenegro,MNE,2010,1.8441362
Montenegro,MNE,2015,1.856931
Montenegro,MNE,2019,1.8887196
