Entity,Code,Year,"Age-standardized deaths that are from malignant neoplasms per 100,000 people, in both sexes aged all ages"
Azerbaijan,AZE,1990,94.91897
Azerbaijan,AZE,2000,83.08109
Brazil,BRA,1980,86.47115
Brazil,BRA,1990,91.79401
Brazil,BRA,2000,97.62093
Brazil,BRA,2010,101.178246
Jordan,JOR,2010,64.9034
New Zealand,NZL,1950,141.81769
New Zealand,NZL,1960,136.82008
New Zealand,NZL,1970,159.5677
New Zealand,NZL,1980,162.09415
New Zealand,NZL,1990,164.93794
New Zealand,NZL,2000,145.10101
New Zealand,NZL,2010,123.65583
North Macedonia,MKD,2000,128.20338
North Macedonia,MKD,2010,131.97192
North Macedonia,MKD,2021,115.23012
Uzbekistan,UZB,1990,93.52593
Uzbekistan,UZB,2000,66.82477
Uzbekistan,UZB,2010,54.712673
