Entity,Code,Year,Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate)
Cambodia,KHM,1990,0.0345645476147872
Cambodia,KHM,1995,0.0387664337216401
Cambodia,KHM,2000,0.0434287191110494
Cambodia,KHM,2005,0.0527102769655571
Cambodia,KHM,2010,0.0649955527172416
Cambodia,KHM,2015,0.0823511450859912
Cambodia,KHM,2017,0.0897095184855426
Canada,CAN,1990,7.931017390073574
Canada,CAN,1995,10.858356445113396
Canada,CAN,2000,12.1081225211552
Canada,CAN,2005,13.27274175654261
Canada,CAN,2010,13.374087924579896
Canada,CAN,2015,14.53470550554611
Canada,CAN,2017,14.667696921372464
Colombia,COL,1990,1.0722479029021863
Colombia,COL,1995,0.5820445190830277
Colombia,COL,2000,0.248062663115681
Colombia,COL,2005,0.2363274449601698
Colombia,COL,2010,0.2577026079359277
Colombia,COL,2015,0.2339117159957033
Colombia,COL,2017,0.2790353451802796
Iraq,IRQ,1990,0.4329637879896658
Iraq,IRQ,1995,0.4747809217885663
Iraq,IRQ,2000,0.3680323495899694
Iraq,IRQ,2005,0.3042893588049863
Iraq,IRQ,2010,0.2824681797491695
Iraq,IRQ,2015,0.271613923811238
Iraq,IRQ,2017,0.2890163670328016
Russia,RUS,1990,5.565497616972046
Russia,RUS,1995,7.388280873856017
Russia,RUS,2000,4.440268761483819
Russia,RUS,2005,2.983078912146579
Russia,RUS,2010,3.117837928512293
Russia,RUS,2015,4.240930662338641
Russia,RUS,2017,4.187337607101163
Thailand,THA,1990,0.1047125510472125
Thailand,THA,1995,0.1659839439281765
Thailand,THA,2000,0.2318636955912901
Thailand,THA,2005,0.2496662927987324
Thailand,THA,2010,0.2856695546077593
Thailand,THA,2015,0.3566565722112187
Thailand,THA,2017,0.4048634703755339
