Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Africa,,2022,3545.3096,17.710443,380.82352
Bangladesh,BGD,2022,2890.0796,0.0,21.968452
Congo,COG,2022,,0.0,
Low-income countries,,2022,,0.0,
Nigeria,NGA,2022,,0.0,
North America,,2022,44720.008,3790.8274,7426.0054
Pakistan,PAK,2022,3545.5544,236.38889,460.81006
South Sudan,SSD,2022,,0.0,
Sri Lanka,LKA,2022,,0.0,1044.8799
Sweden,SWE,2022,15754.809,12223.56,31948.436
Thailand,THA,2022,18179.367,0.0,1437.4113
Tunisia,TUN,2022,,0.0,
